side,horizon_minutes,feature_count,ctx_body_direction,train_sample_size,train_success_rate,train_avg_return_atr,train_median_return_atr,train_avg_mfe_atr,train_avg_mae_atr,test_sample_size,test_success_rate,test_avg_return_atr,test_median_return_atr,test_avg_mfe_atr,test_avg_mae_atr,baseline_train_success_rate,baseline_test_success_rate,baseline_train_avg_return_atr,baseline_test_avg_return_atr,train_success_lift,test_success_lift,train_return_lift,test_return_lift,candidate_status,feature_1,ctx_structure_state,ctx_session_name,ctx_in_asia_session,ctx_in_london_session,ctx_in_ny_session,ctx_london_killzone,ctx_ny_killzone,ctx_compression_flag,ctx_expansion_flag,ctx_bos_up,ctx_bos_dn,ctx_choch_up,ctx_choch_dn,ctx_sweep_high,ctx_sweep_low,ctx_fvg_up,ctx_fvg_dn,ctx_ema20_above_ema50,ctx_vol_spike_1p5,ctx_vol_spike_2p0,ctx_vol_ratio_bucket,ctx_ATR_Z_bucket,ctx_BB_Width_Z_bucket,ctx_ADX_bucket,ctx_RSI_bucket,ctx_range_atr_bucket,ctx_body_atr_bucket,ctx_spread_z_bucket,ctx_ema20_slope_5_bucket,ctx_ema50_slope_5_bucket,ctx_dist_ema20_atr_bucket,ctx_dist_ema50_atr_bucket,ctx_dist_donchian_high20_atr_bucket,ctx_dist_donchian_low20_atr_bucket,ctx_fvg_up_size_atr_bucket,ctx_fvg_dn_size_atr_bucket
DOWN,5,1,,6639,0.5515890947431842,0.15475361667890494,0.10754631721649376,1.4024155990076352,1.041177220944385,2846,0.5713281799016163,0.19362269809203006,0.19868289795658586,1.38096681967159,1.0101031032565586,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.0021396192908733624,0.0044332027326665635,-0.012514141053027339,0.00797104756734307,NOT_ROBUST,ctx_in_asia_session,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,3579,0.5568594579491478,0.18801906144518252,0.15698022768129555,1.4372665572945464,1.0216213359799613,1534,0.560625814863103,0.17660788591234522,0.11515531987505305,1.3916665429938515,1.0176304427337306,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.0031307439150902727,-0.006269162305846732,0.020751303713250235,-0.00904376461234177,NOT_ROBUST,ctx_in_asia_session,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,6582,0.5367669401397751,0.13256611066256094,0.10539936561396598,1.3371682113454189,1.0758692927891471,2822,0.5329553508150248,0.10566905380608495,0.04210616701470686,1.3559549369729624,1.0915605773940011,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.0034822687209843384,-0.0035005790419203597,0.0013253506426938455,-0.005072230627935478,NOT_ROBUST,ctx_in_asia_session,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,3529,0.5466137716066874,0.12880601443466147,0.1066290550072224,1.353566607204039,1.0938050535346433,1513,0.543291473892928,0.12012865624340571,0.09726725335809547,1.3271752816855222,1.0796030487777484,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,0.006364562745928004,0.0068355440359828545,-0.002434745585205622,0.009387371809385286,NOT_ROBUST,ctx_in_asia_session,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,8425,0.5538278931750742,0.1645412753367745,0.12607519282798432,1.4171137480832519,1.0375415439582218,3611,0.5657712545001384,0.19313702340208,0.16151022548523677,1.3918496549168593,1.0133800284590748,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,9.91791410166476e-05,-0.0011237226688113333,-0.00272648239515777,0.0074853728773930095,NOT_ROBUST,ctx_in_london_session,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,1793,0.5532626882320134,0.17957270745571477,0.14213197969577362,1.4073675369132141,1.0162263738684598,769,0.5721716514954487,0.1516830651725365,0.19915417147247105,1.3408319777831141,1.0167232553756507,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.00046602580204413435,0.00527667432649892,0.012304949723782488,-0.0339685853521505,NOT_ROBUST,ctx_in_london_session,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,8327,0.5417317161042392,0.13903216307318003,0.1064189189190815,1.3549815126829847,1.0820644069610095,3570,0.5411764705882353,0.11452336016095206,0.06422550119613987,1.351626961028402,1.0864059532942822,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,0.0014825072434797582,0.004720540731290135,0.00779140305331294,0.0037820757269316357,NOT_ROBUST,ctx_in_london_session,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,1784,0.5347533632286996,0.09501128655707375,0.11596817207515932,1.2877012663268372,1.0823157857474754,765,0.5111111111111111,0.0927973060851662,0.034701184246820574,1.316340380544848,1.0922381038825053,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.005495845632059848,-0.025344818745834052,-0.03622947346279334,-0.017943978348854223,NOT_ROBUST,ctx_in_london_session,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,6312,0.5510139416983524,0.16389463103229227,0.12695184810129975,1.4193661862797533,1.02769187706911,2706,0.5709534368070953,0.17410868460944603,0.14725652385456184,1.3925317781137452,1.0079042503244877,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.0027147723357051623,0.004058459638145551,-0.0033731266996400167,-0.011542965915240955,NOT_ROBUST,ctx_in_ny_session,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,3905,0.5567221510883482,0.1662986023129658,0.1249460198648539,1.4039207652951426,1.0467996941079247,1675,0.5635820895522388,0.21925917859217448,0.21300138312567354,1.3791768765705414,1.0164919566650923,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.0029934370542906708,-0.003312887616711002,-0.000969155418966472,0.033607528067487485,NOT_ROBUST,ctx_in_ny_session,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
