side,horizon_minutes,feature_count,ctx_body_atr_bucket,ctx_body_direction,train_sample_size,train_success_rate,train_avg_return_atr,train_median_return_atr,train_avg_mfe_atr,train_avg_mae_atr,test_sample_size,test_success_rate,test_avg_return_atr,test_median_return_atr,test_avg_mfe_atr,test_avg_mae_atr,baseline_train_success_rate,baseline_test_success_rate,baseline_train_avg_return_atr,baseline_test_avg_return_atr,train_success_lift,test_success_lift,train_return_lift,test_return_lift,candidate_status,feature_1,feature_2,ctx_range_atr_bucket,ctx_dist_ema20_atr_bucket,ctx_sweep_high,ctx_dist_donchian_high20_atr_bucket,ctx_dist_donchian_low20_atr_bucket,ctx_sweep_low
DOWN,5,2,Q3,,947,0.5607180570221753,0.08197297529751621,0.07862714508593457,1.3621112495896397,1.04734429984445,406,0.5788177339901478,0.1494760432376812,0.17892572056443884,1.3929070090428108,1.0064169792991209,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.006989342988117708,0.011922756821198033,-0.08529478243441607,-0.03617560728700578,NOT_ROBUST,ctx_body_atr_bucket,ctx_range_atr_bucket,Q3,,,,,
DOWN,5,2,Q3,,434,0.5576036866359447,0.2185395149832757,0.1388807628763128,1.483880648176584,1.08540947432958,186,0.5806451612903226,0.20150982008457477,0.1139252090553875,1.3501794575793713,0.9593468571139733,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.0038749726018871833,0.013750184121372855,0.05127175725134342,0.01585816955988778,NOT_ROBUST,ctx_body_atr_bucket,ctx_range_atr_bucket,Q4_HIGH,,,,,
DOWN,5,2,Q4_HIGH,,74,0.6621621621621622,0.27436047686802456,0.34318971059716963,1.3880905218709978,0.7461357498925615,32,0.625,0.18971341758851645,0.06870392867898154,1.2788545693035718,0.8075743211846185,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.10843344812810463,0.058105022831050235,0.10709271913609228,0.004061767063829463,NOT_ROBUST,ctx_body_atr_bucket,ctx_range_atr_bucket,Q2,,,,,
DOWN,5,2,Q4_HIGH,,695,0.7165467625899281,0.5156421982197769,0.45344129554650353,1.7675038898905597,0.6655028889311785,299,0.68561872909699,0.5005814299562541,0.392392392392062,1.5288631901589296,0.6776002911679249,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.16281804855587056,0.11872375192804019,0.3483744404878446,0.3149297794315671,ROBUST_POSITIVE,ctx_body_atr_bucket,ctx_range_atr_bucket,Q3,,,,,
DOWN,5,2,Q4_HIGH,,1866,0.7786709539121115,0.8114720349417699,0.7129424116300724,2.1493743457917076,0.4474081303383866,801,0.7740324594257179,0.8038539142689476,0.6959537572253012,2.082139287834494,0.43218534305570533,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.22494223987805395,0.2071374822567681,0.6442042772098376,0.6182022637442606,ROBUST_POSITIVE,ctx_body_atr_bucket,ctx_range_atr_bucket,Q4_HIGH,,,,,
DOWN,5,2,UNKNOWN,,0,,,,,,1,1.0,-0.70115702479354,-0.70115702479354,2.1312396694214963,1.622148760330629,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,,0.43310502283105023,,-0.886808675318227,NOT_ROBUST,ctx_body_atr_bucket,ctx_range_atr_bucket,UNKNOWN,,,,,
UP,5,2,Q1_LOW,,1241,0.4262691377921031,-0.12382362149742182,-0.16492146596887217,1.0297107085395096,1.300343476675414,532,0.4191729323308271,-0.1921266662654946,-0.1672804858377662,1.0104791811498852,1.3141053237220899,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.11398007106865632,-0.11728299752611804,-0.25506438151728894,-0.302867950699515,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_range_atr_bucket,Q1_LOW,,,,,
UP,5,2,Q1_LOW,,686,0.4110787172011662,-0.3008971341207019,-0.28650233811544285,0.9722263993062937,1.4988670599616258,295,0.376271186440678,-0.3074079906038848,-0.344086021505345,0.9562579617388677,1.4883586497141073,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.12917049165959327,-0.16018474341626715,-0.432137894140569,-0.4181492750379052,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_range_atr_bucket,Q2,,,,,
UP,5,2,Q1_LOW,,380,0.42894736842105263,-0.18605255296430742,-0.11710034625019713,1.0221205559375424,1.5118514721651335,163,0.44171779141104295,-0.0573520514256101,-0.03730017761985878,1.0401343206670541,1.41124659340383,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.11130184043970681,-0.09473813844590218,-0.3172933129841745,-0.16809333585963052,ROBUST_NEGATIVE,ctx_body_atr_bucket,ctx_range_atr_bucket,Q3,,,,,
UP,5,2,Q1_LOW,,117,0.3333333333333333,-0.35130825549666306,-0.44353448275871843,0.8476213502471874,1.6738264032174814,51,0.5098039215686274,0.585009672184694,0.33543505674634855,1.6954604676474676,1.3039889942347045,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.20691587552742613,-0.026652008288317708,-0.4825490155165302,0.4742683877506736,NOT_ROBUST,ctx_body_atr_bucket,ctx_range_atr_bucket,Q4_HIGH,,,,,
