side,m1_previous_body_bucket,m1_previous_range_bucket,m1_previous_volume_bucket,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
UP,STRONG_BODY,LOW_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,618,ADEQUATE,0.5728155339805825,1.376274515833497,0.9681711490356114,0.18717281821890153,0.14539388223266442
DOWN,MEDIUM_BODY,NORMAL_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,597,ADEQUATE,0.5862646566164154,1.4198113259898812,0.9879514363069064,0.23140960806953834,0.22354623450908517
DOWN,STRONG_BODY,EXPANSION_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,595,ADEQUATE,0.45210084033613446,1.3868316502921805,1.2209671736868428,-0.056543864963308356,-0.2481203007518507
DOWN,SMALL_BODY,LOW_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,593,ADEQUATE,0.6020236087689713,1.468242684118683,0.8272529278019917,0.30121896586856406,0.20581113801461695
UP,SMALL_BODY,EXPANSION_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,588,ADEQUATE,0.5136054421768708,1.42860823247292,1.3196600754625716,0.046623493589936664,0.058651538737950856
DOWN,SMALL_BODY,EXPANSION_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,579,ADEQUATE,0.5198618307426598,1.507843816160974,1.20303463992396,0.09204589426821046,0.0
UP,STRONG_BODY,EXPANSION_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,547,ADEQUATE,0.5246800731261426,1.407844852391663,1.147013232093782,0.10880691313904053,-0.10941216445804529
UP,SMALL_BODY,LOW_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,546,ADEQUATE,0.5604395604395604,1.3211884158562623,0.984219643788249,0.1803621667303486,0.20896676582363208
UP,SMALL_BODY,LOW_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,514,ADEQUATE,0.5291828793774319,1.3296816341598496,0.9941375665133877,0.11417466387812009,0.12259290481143646
UP,STRONG_BODY,EXPANSION_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,504,ADEQUATE,0.5615079365079365,1.3123868376448478,1.1399481139595962,0.11733509294194469,0.18389154874997343
