side,m1_previous_color,m5_color,m15_color,h1_color,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,DOJI,GREEN,GREEN,GREEN,5,11,INSUFFICIENT_SAMPLE,0.36363636363636365,1.0286240738901595,1.3797795361751124,-0.6461169901795457,-0.8989612842297305
UP,DOJI,GREEN,GREEN,RED,5,11,INSUFFICIENT_SAMPLE,0.45454545454545453,1.3693711674241147,1.6851924198261559,-0.5366786450401888,-0.40454076367355835
DOWN,DOJI,GREEN,GREEN,RED,5,10,INSUFFICIENT_SAMPLE,0.4,1.2574280913712714,1.1602340378091214,-0.027891563854708833,0.05049552494338824
DOWN,DOJI,RED,GREEN,GREEN,5,10,INSUFFICIENT_SAMPLE,0.3,1.242668954217025,2.221964132105646,-0.8048016445922979,-1.4612786603610761
UP,GREEN,DOJI,GREEN,RED,5,10,INSUFFICIENT_SAMPLE,0.3,0.7600758855624339,1.7572551082792358,-0.7387959743669393,-0.6402129110235959
DOWN,RED,GREEN,GREEN,DOJI,5,9,INSUFFICIENT_SAMPLE,0.3333333333333333,1.0057106474687536,0.9780125423010916,-0.008645487548013777,-0.3187613843352467
UP,GREEN,DOJI,GREEN,GREEN,5,9,INSUFFICIENT_SAMPLE,0.6666666666666666,1.2404348318131528,1.3059232693342855,-0.3093100123970616,-0.1714859437752634
UP,RED,DOJI,RED,GREEN,5,9,INSUFFICIENT_SAMPLE,0.5555555555555556,1.5468353483322854,1.2881331061752586,0.10710545373340981,0.1831106056298217
DOWN,DOJI,GREEN,RED,GREEN,5,8,INSUFFICIENT_SAMPLE,0.625,1.786515889237958,1.0101850459016815,0.7866370611011031,0.6734545361478905
DOWN,RED,RED,DOJI,RED,5,8,INSUFFICIENT_SAMPLE,0.875,2.5146812746155143,0.5002029244157142,0.8034212916524258,0.8303590183394127
UP,GREEN,RED,GREEN,DOJI,5,7,INSUFFICIENT_SAMPLE,1.0,4.025585371179156,-0.09286396412129548,2.2642478001702777,0.9681528662425759
DOWN,GREEN,RED,DOJI,RED,5,5,INSUFFICIENT_SAMPLE,0.8,2.211520439837559,0.4170237768278645,1.1092872632988642,0.9829917139116544
DOWN,RED,DOJI,GREEN,GREEN,5,5,INSUFFICIENT_SAMPLE,0.8,2.487234425156762,0.7798140732282681,1.4241777057180165,2.0948684777923416
UP,DOJI,GREEN,RED,GREEN,5,5,INSUFFICIENT_SAMPLE,0.6,1.5224116833388774,0.4198654958489637,0.33717483403449516,0.11659192825119423
UP,GREEN,GREEN,GREEN,DOJI,5,5,INSUFFICIENT_SAMPLE,0.4,0.5019090904278678,1.159799228600418,-0.8634216849382307,-0.7198917456025171
DOWN,GREEN,DOJI,RED,GREEN,5,4,INSUFFICIENT_SAMPLE,1.0,2.74597205316632,0.16036461116321898,1.7441212868127836,1.9694615583454371
DOWN,RED,GREEN,DOJI,RED,5,4,INSUFFICIENT_SAMPLE,1.0,3.3631902270033316,0.4474412215032083,2.6926541223699036,2.4135626020381666
DOWN,RED,RED,GREEN,DOJI,5,4,INSUFFICIENT_SAMPLE,0.75,1.03507210167905,1.0842304197377826,-0.49955891732862734,-0.30774891374637864
DOWN,RED,DOJI,RED,RED,5,3,INSUFFICIENT_SAMPLE,1.0,2.014423184188312,0.4136196658359918,1.4906447443027309,1.1093366093366368
UP,GREEN,DOJI,RED,RED,5,3,INSUFFICIENT_SAMPLE,0.6666666666666666,2.6963306053639777,1.3461159520125072,1.53460897165764,3.4083601286175544
UP,GREEN,RED,DOJI,RED,5,3,INSUFFICIENT_SAMPLE,0.0,0.8629770381874207,3.0857708575325993,-2.2398652151158216,-2.3258168430737323
UP,RED,DOJI,GREEN,RED,5,3,INSUFFICIENT_SAMPLE,0.6666666666666666,1.5259841810949089,0.9715254283322378,0.34070587978447286,0.16151022548522137
UP,RED,RED,GREEN,DOJI,5,3,INSUFFICIENT_SAMPLE,0.6666666666666666,7.902771475070367,0.4300467910101564,4.3778112616004154,5.27347781217868
DOWN,GREEN,DOJI,GREEN,RED,5,2,INSUFFICIENT_SAMPLE,0.5,1.3178026949936372,0.5520027308651579,0.35145308639834016,0.35145308639834016
DOWN,GREEN,DOJI,RED,RED,5,2,INSUFFICIENT_SAMPLE,1.0,2.420596545507701,0.29192545525086694,1.8901898280139733,1.8901898280139733
DOWN,GREEN,GREEN,RED,DOJI,5,2,INSUFFICIENT_SAMPLE,0.5,1.094389642859852,1.3061664355666827,-0.17815200913861073,-0.17815200913861073
DOWN,GREEN,RED,GREEN,DOJI,5,2,INSUFFICIENT_SAMPLE,0.5,0.9572560467055414,6.757798165139927,-4.233965804839192,-4.233965804839192
UP,GREEN,GREEN,RED,DOJI,5,2,INSUFFICIENT_SAMPLE,0.0,0.25918763459228,1.3091281310208784,-0.7557945143379243,-0.7557945143379243
UP,GREEN,RED,RED,DOJI,5,2,INSUFFICIENT_SAMPLE,0.5,2.2787326293237107,1.3377216815693171,0.6222511865447281,0.6222511865447281
UP,GREEN,RED,UNKNOWN,UNKNOWN,5,2,INSUFFICIENT_SAMPLE,0.0,0.23081085464336548,3.2939963269775028,-1.9190807957840632,-1.9190807957840632
UP,RED,DOJI,GREEN,GREEN,5,2,INSUFFICIENT_SAMPLE,1.0,2.1531684354026965,0.022571487597374096,1.415938740257119,1.415938740257119
DOWN,GREEN,DOJI,GREEN,GREEN,5,1,INSUFFICIENT_SAMPLE,1.0,2.301129234630134,0.01756587201992695,1.7800083647010192,1.7800083647010192
DOWN,GREEN,GREEN,GREEN,DOJI,5,1,INSUFFICIENT_SAMPLE,1.0,2.7676630434779033,0.06657608695623966,1.9687499999995675,1.9687499999995675
DOWN,GREEN,RED,UNKNOWN,UNKNOWN,5,1,INSUFFICIENT_SAMPLE,1.0,2.1312396694214963,1.622148760330629,-0.70115702479354,-0.70115702479354
DOWN,RED,GREEN,RED,DOJI,5,1,INSUFFICIENT_SAMPLE,0.0,0.6363636363631431,2.6647727272733746,-2.0880681818188243,-2.0880681818188243
DOWN,RED,RED,UNKNOWN,UNKNOWN,5,1,INSUFFICIENT_SAMPLE,1.0,2.0063712713582205,1.7515204170287764,-0.5768896611643695,-0.5768896611643695
UP,GREEN,UNKNOWN,UNKNOWN,UNKNOWN,5,1,INSUFFICIENT_SAMPLE,1.0,1.5738375063873138,0.49054675523763447,0.8507920286152214,0.8507920286152214
UP,RED,GREEN,GREEN,DOJI,5,1,INSUFFICIENT_SAMPLE,0.0,0.5399449035809628,2.8732782369151733,-1.2341597796136294,-1.2341597796136294
UP,RED,GREEN,RED,DOJI,5,1,INSUFFICIENT_SAMPLE,1.0,0.6142595978058838,0.34552102376668253,0.34552102376551863,0.34552102376551863
UP,RED,RED,DOJI,RED,5,1,INSUFFICIENT_SAMPLE,0.0,0.42923141537142867,3.275094498109812,-2.9458210835784073,-2.9458210835784073
UP,RED,RED,UNKNOWN,UNKNOWN,5,1,INSUFFICIENT_SAMPLE,0.0,1.3695395513577842,2.4604486422668557,-1.050767414403741,-1.050767414403741
DOWN,RED,RED,RED,RED,15,4242,ADEQUATE,0.5285242809995285,2.4340691924834164,2.002871311883953,0.10925656247662982,0.0031746031745279483
UP,GREEN,RED,RED,RED,15,3991,ADEQUATE,0.5154096717614632,2.2009847333377475,2.0869458233603675,0.08812269712936674,0.08561788274988698
UP,GREEN,GREEN,GREEN,GREEN,15,3917,ADEQUATE,0.5021700280827164,2.393687604914773,2.0422254726331848,0.10044081515658204,-0.12633098718642463
UP,GREEN,GREEN,GREEN,RED,15,3807,ADEQUATE,0.5109009718938797,2.324237547641362,2.1102038530414804,0.06839919524361046,0.010888586428145
DOWN,RED,RED,RED,GREEN,15,3783,ADEQUATE,0.5442770288131112,2.5376817338738475,1.9999563110751024,0.24745709204672955,0.09520865533240941
UP,GREEN,GREEN,RED,RED,15,3678,ADEQUATE,0.49782490483958675,2.2407887025211983,2.021187486500138,0.1150448349690951,0.03446687586694686
DOWN,RED,GREEN,GREEN,GREEN,15,3630,ADEQUATE,0.5641873278236914,2.3491544082939697,1.9684995606854858,0.2077244491105096,0.34672358810183374
DOWN,RED,GREEN,GREEN,RED,15,3535,ADEQUATE,0.5493635077793494,2.4978241721878254,1.9081876028451976,0.3202565200049047,0.22287735849055054
