anchor_tf,hour_brt,market_state,vol_bucket,bars,avg_range_usd,avg_vol_ratio,breakout_pct,false_break_pct,h1_continue_pct,h1_pullback_pct,h1_avg_abs_ret_atr,h3_continue_pct,h3_pullback_pct,h3_avg_abs_ret_atr,h6_continue_pct,h6_pullback_pct,h6_avg_abs_ret_atr,h12_continue_pct,h12_pullback_pct,h12_avg_abs_ret_atr
M5,9,ACCEPTED_BREAKOUT,HIGH,381,6.788477690288728,1.336722092997726,1.0,0.0,0.4881889763779528,0.9816272965879265,0.6461242486882056,0.5091863517060368,0.989501312335958,1.1444388265322267,0.48031496062992124,0.989501312335958,1.7865442265705571,0.4566929133858268,0.994750656167979,2.7522882082979003
M5,9,SWEEP_OR_FALSE_BREAK,NORMAL,260,4.143423076923079,0.9150146535995766,0.06538461538461539,1.0,0.4846153846153846,0.9730769230769231,0.6252973313742031,0.46923076923076923,0.9884615384615385,1.0761759031506168,0.47692307692307695,0.9884615384615385,1.5772384833688429,0.4846153846153846,0.9923076923076923,2.581961089673947
M5,9,NORMAL_FLOW,NORMAL,239,4.807991631799165,0.9276976843766136,0.6778242677824268,0.0,0.5104602510460251,0.9623430962343096,0.6052597416316804,0.5313807531380753,0.9748953974895398,1.0528140783404976,0.5188284518828452,0.9790794979079498,1.714372375041571,0.5355648535564853,0.9874476987447699,2.7831618877108224
M5,9,ACCEPTED_BREAKOUT,SPIKE_1P5,209,6.910765550239188,1.6871175814104753,1.0,0.0,0.5023923444976076,0.9617224880382775,0.7298428673391243,0.4688995215311005,0.9760765550239234,1.3347151189584465,0.46411483253588515,0.9808612440191388,1.8006590709944066,0.46411483253588515,0.9808612440191388,2.586152292695707
M5,9,SWEEP_OR_FALSE_BREAK,SPIKE_1P5,182,6.473791208791226,1.665969219848676,0.2032967032967033,1.0,0.4835164835164835,0.9835164835164835,0.702294201860274,0.45054945054945056,0.9835164835164835,1.2504744262200214,0.5,0.9945054945054945,1.9461834196241539,0.4835164835164835,0.9945054945054945,2.793331546314035
M5,9,EXPANSION,SPIKE_2P0,112,12.857410714285692,2.400957443163777,0.6875,0.3482142857142857,0.5267857142857143,0.9821428571428571,0.7786977157367129,0.5446428571428571,0.9910714285714286,1.3490005004296266,0.5089285714285714,0.9910714285714286,1.9871293303953474,0.48214285714285715,1.0,2.4868742271124478
M5,9,EXPANSION,NORMAL,90,5.391222222222193,0.9338270147001427,0.5666666666666667,0.4111111111111111,0.43333333333333335,0.9555555555555556,0.570018414969758,0.4111111111111111,0.9666666666666667,1.1308723120997597,0.45555555555555555,0.9777777777777777,1.5489201058576074,0.4444444444444444,0.9888888888888889,2.591579267949786
M5,9,LOW_RANGE,NORMAL,47,2.6378723404254645,0.896821312624182,0.3404255319148936,0.0,0.5106382978723404,0.9574468085106383,0.5944243809226841,0.40425531914893614,0.9787234042553191,1.045363598914385,0.44680851063829785,0.9787234042553191,1.7389781611812467,0.46808510638297873,1.0,2.6180230655206085
M5,9,SWEEP_OR_FALSE_BREAK,LOW,44,4.083636363636329,0.7388751343474549,0.09090909090909091,1.0,0.5681818181818182,1.0,0.6064976453776538,0.4090909090909091,1.0,1.0283616167419074,0.5,1.0,1.2157956496095215,0.4772727272727273,1.0,3.123970773640939
M5,9,ACCEPTED_BREAKOUT,SPIKE_2P0,38,10.605263157894653,2.2469822966662174,1.0,0.0,0.6052631578947368,1.0,0.8249816084868665,0.5263157894736842,1.0,1.55852603382913,0.4473684210526316,1.0,1.938737933190968,0.5,1.0,2.6068276734763525
M5,9,NORMAL_FLOW,LOW,33,4.6039393939394575,0.7407885373721241,0.6666666666666666,0.0,0.5151515151515151,0.9696969696969697,0.6075290758769238,0.5151515151515151,0.9696969696969697,1.2622994523761002,0.2727272727272727,0.9696969696969697,1.6874080979799193,0.48484848484848486,1.0,2.5558111393804217
M5,9,NORMAL_FLOW,SPIKE_1P5,31,6.7951612903225245,1.6704926630835482,0.0,0.0,0.5483870967741935,0.967741935483871,0.6698679972954291,0.4838709677419355,0.967741935483871,1.3874267100915976,0.4838709677419355,1.0,2.008883949311989,0.5806451612903226,1.0,2.862352636187106
M5,9,SWEEP_OR_FALSE_BREAK,SPIKE_2P0,22,8.286818181818118,2.287972917241182,0.45454545454545453,1.0,0.5454545454545454,0.9545454545454546,0.7489879069120975,0.6818181818181818,1.0,1.368287875221551,0.5,1.0,1.8757153199461103,0.5909090909090909,1.0,2.2660928766012347
M5,10,EXPANSION,HIGH,1362,8.181196769456676,1.2559150916801587,0.6027900146842878,0.4133627019089574,0.5014684287812041,0.9765051395007343,0.6175125371697493,0.5256975036710719,0.9845814977973568,1.0954793382172237,0.5256975036710719,0.9897209985315712,1.6201100252853318,0.5022026431718062,0.9911894273127754,2.288338096802685
M5,10,SWEEP_OR_FALSE_BREAK,HIGH,601,6.416738768718787,1.1999130361250565,0.09317803660565724,1.0,0.5058236272878536,0.9733777038269551,0.6400381524848745,0.5108153078202995,0.9850249584026622,1.1337620449556414,0.49750415973377704,0.9916805324459235,1.6859369811797418,0.5041597337770383,0.9933444259567388,2.3476543778000867
M5,10,NORMAL_FLOW,HIGH,491,5.809592668024429,1.134313648712365,0.5621181262729125,0.0,0.5112016293279023,0.9735234215885947,0.5872561920754128,0.48879837067209775,0.9837067209775967,1.1049827183921415,0.5030549898167006,0.9877800407331976,1.6838558934533336,0.515274949083503,0.9877800407331976,2.2285081194041325
M5,10,EXPANSION,SPIKE_1P5,434,9.983640552995404,1.6619832765688136,0.6267281105990783,0.41935483870967744,0.511520737327189,0.9769585253456221,0.7463630738276454,0.46543778801843316,0.988479262672811,1.1844810915158617,0.49078341013824883,0.9930875576036866,1.699888239612387,0.45852534562211983,0.9953917050691244,2.383820425178939
M5,10,SWEEP_OR_FALSE_BREAK,NORMAL,295,5.472949152542349,0.9123396184742278,0.04067796610169491,1.0,0.49491525423728816,0.9593220338983051,0.5794835306656072,0.5016949152542373,0.9796610169491525,1.101764054111586,0.49830508474576274,0.9864406779661017,1.645883602138736,0.488135593220339,0.9864406779661017,2.1819322707530073
M5,10,NORMAL_FLOW,NORMAL,280,5.803535714285711,0.9191301034560523,0.6607142857142857,0.0,0.46785714285714286,0.9678571428571429,0.5698653589773356,0.48214285714285715,0.9821428571428571,1.1184332975815288,0.4714285714285714,0.9892857142857143,1.525933535367266,0.475,0.9928571428571429,2.21517070006757
M5,10,ACCEPTED_BREAKOUT,HIGH,213,6.947793427230013,1.3189458725297143,1.0,0.0,0.4413145539906103,0.9812206572769953,0.5972944021464851,0.460093896713615,0.9953051643192489,1.0704496359895,0.48826291079812206,1.0,1.7050521888813492,0.47417840375586856,1.0,2.461920852189351
M5,10,EXPANSION,NORMAL,194,7.12912371134021,0.9272720746009978,0.6701030927835051,0.4020618556701031,0.5103092783505154,0.9587628865979382,0.5439954913507989,0.5515463917525774,0.9742268041237113,1.1226639816126072,0.5051546391752577,0.979381443298969,1.4116979442108923,0.4742268041237113,0.9845360824742269,2.092334152329325
M5,10,SWEEP_OR_FALSE_BREAK,SPIKE_1P5,93,8.635483870967766,1.6672804900372642,0.26881720430107525,1.0,0.4731182795698925,0.978494623655914,0.7289853744814121,0.4838709677419355,1.0,1.2046958810124977,0.5161290322580645,1.0,2.3377123947678804,0.5053763440860215,1.0,2.5734878904929146
M5,10,ACCEPTED_BREAKOUT,SPIKE_1P5,85,9.001529411764665,1.6578476605085866,1.0,0.0,0.5411764705882353,0.9882352941176471,0.6509176933490981,0.4588235294117647,1.0,1.2055878820924726,0.5411764705882353,1.0,1.604718132626461,0.5176470588235295,1.0,3.1006180001540664
M5,10,NORMAL_FLOW,LOW,63,4.223015873015883,0.7321353842580063,0.7142857142857143,0.0,0.47619047619047616,0.9841269841269841,0.6145653037537855,0.49206349206349204,0.9841269841269841,1.1011025668997314,0.5079365079365079,0.9841269841269841,1.7219547907565138,0.4603174603174603,0.9841269841269841,2.331372196396138
M5,10,LOW_RANGE,NORMAL,59,3.025423728813575,0.9020057082995311,0.3220338983050847,0.0,0.4576271186440678,0.9491525423728814,0.5337197960033389,0.423728813559322,0.9661016949152542,1.1019059864843603,0.4745762711864407,0.9830508474576272,1.9123927022886147,0.423728813559322,0.9830508474576272,2.428356118439303
M5,10,SWEEP_OR_FALSE_BREAK,LOW,59,4.1120338983050795,0.7452696150756427,0.05084745762711865,1.0,0.4915254237288136,0.9661016949152542,0.6109705057490626,0.4915254237288136,0.9830508474576272,1.102071291971645,0.5423728813559322,1.0,1.50126544889751,0.4915254237288136,1.0,2.116493740148258
M5,10,EXPANSION,SPIKE_2P0,38,15.174210526315859,2.1430311121912973,0.7105263157894737,0.3157894736842105,0.5,1.0,0.6922345138379626,0.6052631578947368,1.0,1.1485867200158535,0.42105263157894735,1.0,1.7566622576277864,0.39473684210526316,1.0,2.047220385047115
M5,10,LOW_RANGE,HIGH,29,3.3593103448275103,1.1229122079154676,0.4482758620689655,0.0,0.5172413793103449,1.0,0.6485538103859664,0.6206896551724138,1.0,1.1340836563506054,0.5862068965517241,1.0,1.2821910494558137,0.5172413793103449,1.0,1.9286962237609317
M5,11,EXPANSION,HIGH,1024,10.459511718749997,1.1873719969649215,0.626953125,0.3984375,0.509765625,0.9775390625,0.5586061333783408,0.4921875,0.986328125,0.9754403882138323,0.4716796875,0.9921875,1.3049088150865276,0.4951171875,0.9921875,1.7459012994012348
M5,11,SWEEP_OR_FALSE_BREAK,NORMAL,659,5.212594840667674,0.89906254503004,0.05311077389984825,1.0,0.49013657056145676,0.9893778452200304,0.4516920882220193,0.48861911987860396,0.9939301972685888,0.7554218821633142,0.5083459787556904,0.9969650986342944,1.0864775745285138,0.5007587253414264,0.9969650986342944,1.5010811511981588
M5,11,NORMAL_FLOW,NORMAL,544,5.59222426470589,0.8977290102439474,0.7444852941176471,0.0,0.4742647058823529,0.9889705882352942,0.4232195226913992,0.49816176470588236,0.9963235294117647,0.7752201461975264,0.5,0.9963235294117647,1.1023523357080505,0.5275735294117647,0.9963235294117647,1.5430729580315778
