sequence_regime,event_group,breakout_attempt_bucket,htf_location_bias,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,avg_range_sum_5_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,UP_LOCATION,FULL,UP,1932,55.61174050091152,1.1350526362525968,4.881295483622915,0.7820910973084886,0.5243271221532091,0.9032091097308489,0.0905797101449276,-0.7127329192546583,BUY,0.0905797101449276,0.8033126293995859
BREAKOUT_AFTER_COMPRESSION,BREAKOUT,BO_CLUSTER,UP_LOCATION,FULL,UP,252,58.725781372958146,1.1556356001560342,4.568386412580553,0.7261904761904762,0.5753968253968254,0.9444444444444444,0.08730158730158732,-0.7182539682539683,BUY,0.08730158730158732,0.8055555555555556
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,DOWN_LOCATION,FULL,DOWN,286,55.357467910776705,1.165842483606388,4.631997576362099,0.7132867132867133,0.5769230769230769,0.8881118881118881,-0.5944055944055944,0.05244755244755239,SELL,0.05244755244755239,0.6468531468531468
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,1165,52.135960035063334,1.0494040257358384,4.814946922029692,0.47467811158798284,0.7579399141630901,0.5785407725321888,0.02832618025751077,-0.6266094420600858,BUY,0.02832618025751077,0.6549356223175966
NORMAL_SEQUENCE,NONE,MULTI_BO,UP_LOCATION,NONE,MIXED,205,30.896744941497673,0.6471137073195378,4.325054345967085,0.375609756097561,0.824390243902439,0.4975609756097561,-0.5170731707317073,0.014634146341463428,SELL,0.014634146341463428,0.5317073170731708
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,DOWN_LOCATION,FULL,DOWN,1658,58.308836600411446,1.2287005107601212,5.045151439076527,0.7460796139927623,0.6055488540410132,0.9143546441495778,-0.6688781664656211,0.00965018094089265,SELL,0.00965018094089265,0.6785283474065138
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,MIXED,DOWN,1350,53.37248162980436,1.076682402475853,4.7372809734003765,0.4318518518518519,0.7933333333333333,0.5681481481481482,-0.6088888888888889,0.0044444444444444176,SELL,0.0044444444444444176,0.6133333333333333
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,STRONG_UP_LOCATION,MIXED,UP,253,59.124431264645565,0.9909735633664427,5.240761034520061,0.391304347826087,0.8814229249011858,0.4268774703557312,-0.4545454545454546,-0.003952569169960507,SELL,-0.003952569169960507,0.4505928853754941
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,511,59.99880978390447,1.0384361745131356,4.9750657647611956,0.48336594911937375,0.6868884540117417,0.5362035225048923,-0.007827788649706457,-0.6634050880626223,BUY,-0.007827788649706457,0.6555772994129159
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,MIXED,DOWN,477,60.18985722115143,1.066423468902336,5.066977609351871,0.3584905660377358,0.8113207547169812,0.45073375262054505,-0.5639412997903563,-0.008385744234800818,SELL,-0.008385744234800818,0.5555555555555556
BREAKOUT_AFTER_COMPRESSION,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,MIXED,DOWN,185,56.46196564437896,1.1392472369960354,4.71753312039831,0.3621621621621622,0.8378378378378378,0.5567567567567567,-0.6378378378378378,-0.016216216216216217,SELL,-0.016216216216216217,0.6216216216216215
EXPANSION_CHAIN,FALSE_BREAK,MULTI_BO,UP_LOCATION,MIXED,UP,191,45.96554138628423,0.8191340524146933,4.6001588705365775,0.3769633507853403,0.806282722513089,0.4869109947643979,-0.020942408376963317,-0.5445026178010471,BUY,-0.020942408376963317,0.5235602094240839
NORMAL_SEQUENCE,NONE,BO_CLUSTER,STRONG_UP_LOCATION,NONE,MIXED,188,35.650116415888284,0.7037986152822782,4.834603265306153,0.5638297872340425,0.6223404255319149,0.75,-0.6382978723404255,-0.021276595744680882,SELL,-0.021276595744680882,0.6170212765957446
EXPANSION_CHAIN,FALSE_BREAK,MULTI_BO,UP_LOCATION,NONE,MIXED,166,46.36113258879462,0.8248715015643199,4.60044725030256,0.39156626506024095,0.8012048192771084,0.5421686746987951,-0.608433734939759,-0.03614457831325307,SELL,-0.03614457831325307,0.572289156626506
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,STRONG_DOWN_LOCATION,NONE,MIXED,206,58.75454010597895,1.0001594563218659,6.23124000511214,0.6601941747572816,0.5728155339805825,0.7475728155339806,-0.03883495145631066,-0.674757281553398,BUY,-0.03883495145631066,0.6359223300970873
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,STRONG_DOWN_LOCATION,MIXED,DOWN,354,53.62362312564585,1.0996435114527632,5.131149093666076,0.3389830508474576,0.9322033898305084,0.5056497175141242,-0.03954802259887008,-0.5282485875706214,BUY,-0.03954802259887008,0.48870056497175135
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,STRONG_DOWN_LOCATION,MIXED,DOWN,207,67.85600729090856,1.1554863152575172,5.964391320142432,0.2898550724637681,0.9323671497584541,0.4444444444444444,-0.048309178743961345,-0.5700483091787439,BUY,-0.048309178743961345,0.5217391304347826
EXPANSION_CHAIN,FALSE_BREAK,MULTI_BO,DOWN_LOCATION,NONE,MIXED,163,46.99863124658904,0.8570005047913045,4.962207750629909,0.3312883435582822,0.8343558282208589,0.48466257668711654,-0.04907975460122693,-0.5705521472392638,BUY,-0.04907975460122693,0.5214723926380369
EXPANSION_CHAIN,EXPANSION,BO_CLUSTER,UP_LOCATION,MIXED,UP,207,47.66345474945221,0.7553729101570361,5.246404909950365,0.357487922705314,0.8115942028985508,0.4492753623188406,-0.053140096618357446,-0.642512077294686,BUY,-0.053140096618357446,0.5893719806763285
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,STRONG_UP_LOCATION,NONE,MIXED,294,54.685166060438846,0.9495194113625856,5.500158998263775,0.5612244897959183,0.6156462585034014,0.6802721088435374,-0.6054421768707483,-0.06122448979591838,SELL,-0.06122448979591838,0.5442176870748299
EXPANSION_CHAIN,EXPANSION,BO_CLUSTER,DOWN_LOCATION,MIXED,DOWN,184,53.22700906290819,0.8374787876225437,5.894750723783773,0.391304347826087,0.8369565217391305,0.5380434782608695,-0.5923913043478262,-0.06521739130434784,SELL,-0.06521739130434784,0.5271739130434783
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,UP_LOCATION,NONE,MIXED,605,38.49317304992441,0.825757276870045,4.426015719668304,0.37355371900826445,0.8396694214876033,0.5190082644628099,-0.5735537190082645,-0.06611570247933884,SELL,-0.06611570247933884,0.5074380165289256
NORMAL_SEQUENCE,NONE,BO_CLUSTER,UP_LOCATION,NONE,MIXED,552,35.80833146093945,0.7042065765472149,4.815856638774871,0.463768115942029,0.7807971014492754,0.592391304347826,-0.6068840579710144,-0.06884057971014496,SELL,-0.06884057971014496,0.5380434782608694
