dna_type,sequence_dna,bars,avg_energy,avg_range_atr,avg_vol_ratio,avg_dir_streak,avg_range_sum_5_atr,avg_energy_mean_5,continuation_h3,continuation_h6,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_edge,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,best_side,best_edge,edge_gap,sequence_score,sequence_guidance
sequence_dna_macro,regime=NORMAL_SEQUENCE|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=FULL/UP|htf=MIXED_LOCATION,689,43.88383232379092,0.9332069459884623,1.0191607604762205,1.4238026124818577,4.821783778508165,46.52829007464396,0.8969521044992743,0.9521044992743106,0.2946298984034833,0.9985486211901307,0.7445573294629898,0.22931785195936139,0.5152394775036284,0.7445573294629898,0.22931785195936139,0.5152394775036284,0.03483309143686502,0.9579100145137881,-0.9230769230769231,BUY,0.5152394775036284,1.4383164005805515,0.818722786647315,BUY: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=COMPRESSION_BUILDUP|event=FALSE_BREAK|state=COMPRESSION|align=NONE/MIXED|htf=DOWN_LOCATION,144,42.70172265157708,0.8597645394123344,0.9350084418622748,0.3333333333333333,4.39773234981103,44.599910242540076,0.4236111111111111,0.4652777777777778,0.8402777777777778,0.6319444444444444,0.2222222222222222,0.7291666666666666,-0.5069444444444444,0.4652777777777778,0.4861111111111111,-0.020833333333333315,0.1875,0.7847222222222222,-0.5972222222222222,BUY,-0.020833333333333315,0.5763888888888888,0.19095277777777775,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=EXPANSION_CHAIN|event=FALSE_BREAK|state=EXPANSION|align=NONE/MIXED|htf=DOWN_LOCATION,187,70.95832843836197,1.2757601060588477,1.2185318206512608,0.17647058823529413,6.429069904536308,70.10634560346938,0.5133689839572193,0.40641711229946526,0.8770053475935828,0.5989304812834224,0.2192513368983957,0.7486631016042781,-0.5294117647058824,0.45454545454545453,0.5133689839572193,-0.058823529411764774,0.1443850267379679,0.8235294117647058,-0.6791443850267379,BUY,-0.058823529411764774,0.6203208556149731,0.19034117647058818,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=EXPANSION_CHAIN|event=FALSE_BREAK|state=EXPANSION|align=FULL/UP|htf=STRONG_UP_LOCATION,144,69.60040367361002,1.2437371723322102,1.168220480813762,1.3819444444444444,6.262777287892217,67.46930242036518,0.5694444444444444,0.5555555555555556,0.7708333333333334,0.7430555555555556,0.3680555555555556,0.5972222222222222,-0.22916666666666663,0.3680555555555556,0.5972222222222222,-0.22916666666666663,0.1875,0.7777777777777778,-0.5902777777777778,BUY,-0.22916666666666663,0.36111111111111116,0.1895638888888889,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=EXPANSION_CHAIN|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=FULL/DOWN|htf=STRONG_DOWN_LOCATION,219,46.9525337178374,0.761820906972974,0.9346830047258375,-1.639269406392694,5.007038402964284,57.982418768478325,0.5205479452054794,0.4840182648401826,0.680365296803653,0.6118721461187214,0.3881278538812785,0.5707762557077626,-0.18264840182648406,0.2100456621004566,0.776255707762557,-0.5662100456621004,0.3881278538812785,0.5707762557077626,-0.18264840182648406,SELL,-0.18264840182648406,0.38356164383561636,0.18923378995433787,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=BREAKOUT_AFTER_EXPANSION_CHAIN|event=BREAKOUT|state=EXPANSION|align=NONE/MIXED|htf=STRONG_UP_LOCATION,145,76.51639364068451,1.3676954262793444,1.1661492262638085,-1.6758620689655173,6.152244732838376,67.93926324685766,0.5241379310344828,0.5103448275862069,0.7793103448275862,0.7517241379310344,0.3931034482758621,0.5862068965517241,-0.193103448275862,0.2206896551724138,0.7724137931034483,-0.5517241379310345,0.3931034482758621,0.5862068965517241,-0.193103448275862,SELL,-0.193103448275862,0.35862068965517246,0.18520689655172415,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=BREAKOUT_AFTER_SWEEP|event=BREAKOUT|state=ACCEPTED_BREAKOUT|align=FULL/DOWN|htf=STRONG_DOWN_LOCATION,743,75.5034783741069,1.6253435438091057,1.5414025992846847,-2.8896366083445493,6.158368842946001,59.99935871886521,0.46567967698519513,0.46029609690444145,0.8317631224764468,0.7227456258411844,0.3203230148048452,0.6285329744279946,-0.3082099596231494,0.2772543741588156,0.6783310901749664,-0.4010767160161508,0.3203230148048452,0.6285329744279946,-0.3082099596231494,SELL,-0.3082099596231494,0.0928667563930014,0.1843876177658143,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=BREAKOUT_AFTER_SWEEP|event=BREAKOUT|state=NORMAL_FLOW|align=NONE/MIXED|htf=STRONG_UP_LOCATION,323,47.65081412274954,0.9250422637879006,0.8922001696060958,-1.8359133126934986,4.526063400320938,45.43532110527159,0.48297213622291024,0.4458204334365325,0.739938080495356,0.6346749226006192,0.3684210526315789,0.6222910216718266,-0.25386996904024767,0.21981424148606812,0.7678018575851393,-0.5479876160990712,0.3684210526315789,0.6222910216718266,-0.25386996904024767,SELL,-0.25386996904024767,0.29411764705882354,0.18394984520123842,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=EXPANSION_CHAIN|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=NONE/MIXED|htf=DOWN_LOCATION,423,42.453535753716444,0.723115772636453,0.8719983826484151,0.2553191489361702,4.671868752524198,53.96063296722154,0.38534278959810875,0.375886524822695,0.817966903073286,0.46335697399527187,0.2127659574468085,0.7730496453900709,-0.5602836879432624,0.4373522458628842,0.5342789598108747,-0.09692671394799052,0.2198581560283688,0.7754137115839244,-0.5555555555555556,BUY,-0.09692671394799052,0.45862884160756506,0.18389078014184404,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=BREAKOUT_AFTER_SWEEP|event=BREAKOUT|state=NORMAL_FLOW|align=FULL/DOWN|htf=STRONG_DOWN_LOCATION,1285,53.48025003336585,1.0846091067974546,0.9280250550475667,-2.482490272373541,4.764212848832724,45.30078040740856,0.4723735408560311,0.5003891050583658,0.7556420233463035,0.6498054474708171,0.3151750972762646,0.6575875486381323,-0.3424124513618677,0.2739299610894942,0.6964980544747081,-0.42256809338521395,0.3151750972762646,0.6575875486381323,-0.3424124513618677,SELL,-0.3424124513618677,0.08015564202334624,0.18268482490272375,sem edge sequencial; não usar como gatilho
sequence_dna_macro,regime=DOWN_STREAK_EXTENDED|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=FULL/DOWN|htf=STRONG_DOWN_LOCATION,247,47.4507070306189,0.9363786214733963,1.0915383569706576,-5.153846153846154,5.188935168611734,51.71156292745544,0.5020242914979757,0.46963562753036436,0.7854251012145749,0.708502024291498,0.3684210526315789,0.5951417004048583,-0.22672064777327933,0.22267206477732793,0.7611336032388664,-0.5384615384615384,0.3684210526315789,0.5951417004048583,-0.22672064777327933,SELL,-0.22672064777327933,0.3117408906882591,0.1825983805668016,sem edge sequencial; não usar como gatilho
