breakout_location_alignment,htf_location_bias,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
NO_BREAKOUT,DOWN_LOCATION,SWEEP_OR_FALSE_BREAK,HIGH,FULL,DOWN,213,67.51207303436561,1.2485900862596386,0.784037558685446,0.5868544600938967,0.9671361502347418,-0.704225352112676,0.12206572769953056,SELL,0.12206572769953056,0.8262910798122065
BREAKOUT_WITH_HTF_UP,UP_LOCATION,LOW_RANGE,LOW,FULL,UP,146,28.943713753389133,0.5181917389219856,0.8013698630136986,0.4794520547945205,0.9383561643835616,0.11643835616438353,-0.8356164383561644,BUY,0.11643835616438353,0.952054794520548
BREAKOUT_WITH_HTF_UP,UP_LOCATION,EXPANSION,EXTREME,FULL,UP,228,88.66993148749067,1.7993471935320209,0.8377192982456141,0.5131578947368421,0.956140350877193,0.10526315789473684,-0.7149122807017543,BUY,0.10526315789473684,0.8201754385964911
NO_BREAKOUT,MIXED_LOCATION,NORMAL_FLOW,MEDIUM,MIXED,DOWN,223,48.62492848473031,0.840035356526557,0.4304932735426009,0.7892376681614349,0.5336322869955157,-0.6771300448430493,0.10313901345291482,SELL,0.10313901345291482,0.7802690582959642
BREAKOUT_MIXED_HTF,MIXED_LOCATION,EXPANSION,HIGH,MIXED,UP,142,70.65289053557586,1.214525222811062,0.47183098591549294,0.6549295774647887,0.5633802816901409,0.09859154929577463,-0.7183098591549295,BUY,0.09859154929577463,0.8169014084507041
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,LOW,MIXED,DOWN,312,33.15884363845695,0.7404421170415036,0.40064102564102566,0.7852564102564102,0.532051282051282,-0.7243589743589743,0.09615384615384615,SELL,0.09615384615384615,0.8205128205128205
NO_BREAKOUT,MIXED_LOCATION,NORMAL_FLOW,LOW,MIXED,DOWN,177,31.15868040967348,0.7112213917192491,0.4463276836158192,0.751412429378531,0.5141242937853108,-0.6836158192090395,0.09039548022598876,SELL,0.09039548022598876,0.7740112994350282
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,VERY_LOW,MIXED,UP,191,14.842629558193858,0.522875758097538,0.47643979057591623,0.7382198952879581,0.5340314136125655,0.08900523560209422,-0.7748691099476439,BUY,0.08900523560209422,0.8638743455497382
BREAKOUT_MIXED_HTF,MIXED_LOCATION,ACCEPTED_BREAKOUT,HIGH,MIXED,UP,181,70.65589642848855,1.3068724637659785,0.39779005524861877,0.8287292817679558,0.5580110497237569,0.08839779005524862,-0.6022099447513812,BUY,0.08839779005524862,0.6906077348066298
BREAKOUT_WITH_HTF_UP,UP_LOCATION,ACCEPTED_BREAKOUT,HIGH,FULL,UP,353,71.52438176695004,1.3006575245203245,0.8016997167138811,0.5495750708215298,0.9263456090651558,0.08215297450424924,-0.6940509915014164,BUY,0.08215297450424924,0.7762039660056657
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,HIGH,MIXED,DOWN,270,66.6732838995001,1.2458144739142991,0.4111111111111111,0.8074074074074075,0.5814814814814815,-0.6,0.05555555555555558,SELL,0.05555555555555558,0.6555555555555556
BREAKOUT_WITH_HTF_DOWN,DOWN_LOCATION,EXPANSION,EXTREME,FULL,DOWN,252,89.1516258525458,1.9142187214502817,0.7896825396825397,0.626984126984127,0.9523809523809523,-0.6785714285714286,0.055555555555555525,SELL,0.055555555555555525,0.7341269841269842
NO_BREAKOUT,MIXED_LOCATION,COMPRESSION,LOW,MIXED,DOWN,157,30.754622224677476,0.6328550580705407,0.46496815286624205,0.7770700636942676,0.6242038216560509,-0.7261146496815287,0.04458598726114649,SELL,0.04458598726114649,0.7707006369426752
BREAKOUT_WITH_HTF_DOWN,DOWN_LOCATION,NORMAL_FLOW,LOW,FULL,DOWN,291,33.34403211944341,0.7550207084682979,0.718213058419244,0.5601374570446735,0.872852233676976,-0.7491408934707904,0.03436426116838487,SELL,0.03436426116838487,0.7835051546391752
BREAKOUT_WITH_HTF_DOWN,DOWN_LOCATION,ACCEPTED_BREAKOUT,EXTREME,FULL,DOWN,179,85.16667240036551,2.056184805108285,0.7262569832402235,0.6368715083798883,0.9385474860335196,-0.5698324022346369,0.02793296089385472,SELL,0.02793296089385472,0.5977653631284916
BREAKOUT_WITH_HTF_DOWN,DOWN_LOCATION,NORMAL_FLOW,HIGH,FULL,DOWN,385,67.5417471725006,1.301737811537974,0.7376623376623377,0.6103896103896104,0.9012987012987013,-0.6623376623376624,0.023376623376623384,SELL,0.023376623376623384,0.6857142857142858
BREAKOUT_WITH_HTF_UP,UP_LOCATION,ACCEPTED_BREAKOUT,EXTREME,FULL,UP,181,84.62430191592851,1.9594112036029767,0.8176795580110497,0.585635359116022,0.9502762430939227,0.016574585635359074,-0.6408839779005525,BUY,0.016574585635359074,0.6574585635359116
BREAKOUT_WITH_HTF_DOWN,DOWN_LOCATION,NORMAL_FLOW,MEDIUM,FULL,DOWN,667,50.37228818430663,0.962632159311636,0.7181409295352323,0.5922038980509745,0.889055472263868,-0.7001499250374813,0.01199400299850073,SELL,0.01199400299850073,0.712143928035982
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,MEDIUM,MIXED,DOWN,633,49.77727852376568,0.9386797314076579,0.4628751974723539,0.7551342812006319,0.5703001579778831,-0.589257503949447,0.004739336492890989,SELL,0.004739336492890989,0.5939968404423379
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,HIGH,MIXED,UP,214,66.65073693405738,1.227995556044722,0.5,0.7523364485981309,0.6682242990654206,0.0,-0.6822429906542056,BUY,0.0,0.6822429906542056
NO_BREAKOUT,UP_LOCATION,EXPANSION,HIGH,NONE,MIXED,150,69.72837436105384,1.2031889088999606,0.43333333333333335,0.76,0.6,-0.6066666666666667,0.0,SELL,0.0,0.6066666666666667
NO_BREAKOUT,DOWN_LOCATION,EXPANSION,HIGH,NONE,MIXED,175,71.23307187255963,1.2306513100741432,0.4514285714285714,0.8628571428571429,0.6057142857142858,-0.005714285714285727,-0.6342857142857143,BUY,-0.005714285714285727,0.6285714285714286
BREAKOUT_WITH_HTF_UP,UP_LOCATION,NORMAL_FLOW,HIGH,FULL,UP,401,67.13064771828866,1.269408740491721,0.7506234413965087,0.5561097256857855,0.8877805486284289,-0.007481296758104716,-0.6384039900249376,BUY,-0.007481296758104716,0.6309226932668329
BREAKOUT_MIXED_HTF,MIXED_LOCATION,ACCEPTED_BREAKOUT,HIGH,MIXED,DOWN,190,71.30557623833676,1.2928742201857963,0.4631578947368421,0.8421052631578947,0.6578947368421053,-0.6421052631578947,-0.015789473684210575,SELL,-0.015789473684210575,0.6263157894736842
