dna_type,state_dna,bars,first_seen,last_seen,avg_energy,avg_range_atr,avg_vol_ratio,continuation_h3,continuation_h6,continuation_h12,pullback_0p50_h6,reach_0p50_h12,reach_1atr_h12,rr_tp,rr_sl,rr_edge,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,buy_minus_sell_edge,state_bias,state_quality_score,state_playbook
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/DOWN|level=AT_RESISTANCE|event=FALSE_BREAK,275,2025-01-27 22:45:00,2026-06-24 06:50:00,29.356937369838402,0.6725829462892362,0.8220501067253159,0.8036363636363636,0.7781818181818182,0.7890909090909091,0.36363636363636365,0.96,0.8654545454545455,0.6945454545454546,0.29454545454545455,0.4,0.06545454545454546,0.9272727272727272,-0.8618181818181818,0.6945454545454546,0.29454545454545455,0.4,-1.2618181818181817,SELL_BIAS,0.5439545454545455,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=NORMAL_FLOW|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,1017,2025-01-28 08:50:00,2026-06-25 01:45:00,32.95425847462666,0.7310384761666716,0.771851375315228,0.647984267453294,0.7020648967551623,0.6696165191740413,0.5349065880039331,0.9144542772861357,0.7610619469026548,0.4837758112094395,0.4995083579154376,-0.01573254670599805,0.4837758112094395,0.4995083579154376,-0.01573254670599805,0.1553588987217306,0.8328416912487709,-0.6774827925270404,0.6617502458210422,BUY_BIAS,0.3895280235988201,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=LOW_RANGE|energy=LOW|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,218,2025-01-29 02:45:00,2026-06-24 12:40:00,28.244407725035956,0.5315711793828887,0.7805322382759009,0.6513761467889908,0.7431192660550459,0.7522935779816514,0.481651376146789,0.926605504587156,0.8211009174311926,0.5642201834862385,0.42660550458715596,0.13761467889908252,0.15137614678899083,0.8440366972477065,-0.6926605504587157,0.5642201834862385,0.42660550458715596,0.13761467889908252,-0.8302752293577982,SELL_BIAS,0.3862715596330275,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/UP|level=NEAR_RESISTANCE|event=BREAKOUT,220,2025-01-28 09:00:00,2026-06-17 09:20:00,72.42247617984339,1.4223920797292704,1.4639861402609795,0.7545454545454545,0.7818181818181819,0.7818181818181819,0.5590909090909091,0.9681818181818181,0.9,0.5227272727272727,0.45,0.0727272727272727,0.5227272727272727,0.45,0.0727272727272727,0.10909090909090909,0.8727272727272727,-0.7636363636363636,0.8363636363636362,BUY_BIAS,0.3812272727272727,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=NORMAL_FLOW|energy=LOW|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,676,2025-01-27 22:50:00,2026-06-23 23:10:00,32.858250883693756,0.7496636059989736,0.7630985866864162,0.6420118343195266,0.6804733727810651,0.6863905325443787,0.5710059171597633,0.9245562130177515,0.8017751479289941,0.4718934911242604,0.5029585798816568,-0.031065088757396442,0.16863905325443787,0.8091715976331361,-0.6405325443786982,0.4718934911242604,0.5029585798816568,-0.031065088757396442,-0.6094674556213018,SELL_BIAS,0.3799556213017752,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=VERY_LOW|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,271,2025-01-29 19:25:00,2026-06-22 01:30:00,15.049144538811651,0.5035414618625876,0.6483018107855258,0.7158671586715867,0.7306273062730627,0.7158671586715867,0.45387453874538747,0.9372693726937269,0.7712177121771218,0.5276752767527675,0.45387453874538747,0.07380073800738002,0.5276752767527675,0.45387453874538747,0.07380073800738002,0.11439114391143912,0.8745387453874539,-0.7601476014760148,0.8339483394833949,BUY_BIAS,0.3789014760147602,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=HIGH|align=FULL/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,469,2025-01-28 23:55:00,2026-06-24 22:50:00,67.61198745930534,1.265137235079899,1.3228318634516423,0.6567164179104478,0.6844349680170576,0.7078891257995735,0.6396588486140725,0.9488272921108742,0.8614072494669509,0.47547974413646055,0.4904051172707889,-0.014925373134328346,0.1791044776119403,0.8038379530916845,-0.6247334754797442,0.47547974413646055,0.4904051172707889,-0.014925373134328346,-0.6098081023454158,SELL_BIAS,0.37694733475479747,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,2047,2025-01-28 00:10:00,2026-06-25 12:35:00,49.99938648447514,0.9124663607850285,0.9155803677979087,0.6370297997068881,0.6663409868099658,0.6893014167073767,0.5964826575476306,0.9062042012701514,0.7659990229604299,0.4562774792379091,0.525647288715193,-0.06936980947728383,0.4562774792379091,0.525647288715193,-0.06936980947728383,0.19394235466536394,0.7957987298485588,-0.6018563751831949,0.532486565705911,BUY_BIAS,0.3495847581827064,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,188,2025-01-30 15:15:00,2026-06-23 15:00:00,50.393123678283835,1.061459738500027,0.868467217983604,0.6702127659574468,0.723404255319149,0.6914893617021277,0.5531914893617021,0.9574468085106383,0.8882978723404256,0.5106382978723404,0.46808510638297873,0.04255319148936165,0.12234042553191489,0.8670212765957447,-0.7446808510638298,0.5106382978723404,0.46808510638297873,0.04255319148936165,-0.7872340425531914,SELL_BIAS,0.3489531914893617,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/DOWN|level=NEAR_SUPPORT|event=BREAKOUT,421,2025-01-29 00:45:00,2026-06-24 04:30:00,51.45791797714452,1.0065086430002237,0.867409316412605,0.6199524940617577,0.6603325415676959,0.667458432304038,0.5961995249406176,0.9334916864608076,0.8218527315914489,0.47268408551068886,0.5201900237529691,-0.04750593824228022,0.17577197149643706,0.8218527315914489,-0.6460807600950118,0.47268408551068886,0.5201900237529691,-0.04750593824228022,-0.5985748218527316,SELL_BIAS,0.34827149643705463,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=LOW_RANGE|energy=VERY_LOW|align=FULL/UP|level=AT_RESISTANCE|event=NONE,125,2025-01-28 13:05:00,2026-06-25 01:55:00,14.499656990452827,0.4386593852797713,0.619777732466851,0.688,0.752,0.688,0.448,0.944,0.744,0.544,0.432,0.11200000000000004,0.544,0.432,0.11200000000000004,0.12,0.856,-0.736,0.8480000000000001,BUY_BIAS,0.3447,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=VERY_LOW|align=FULL/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,149,2025-02-06 00:50:00,2026-06-23 01:05:00,14.991650505509314,0.5276454786764262,0.619533881283496,0.6577181208053692,0.6510067114093959,0.6577181208053692,0.5234899328859061,0.9194630872483222,0.8053691275167785,0.5570469798657718,0.4161073825503356,0.1409395973154362,0.1476510067114094,0.8456375838926175,-0.697986577181208,0.5570469798657718,0.4161073825503356,0.1409395973154362,-0.8389261744966443,SELL_BIAS,0.3440288590604026,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=LOW_RANGE|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,472,2025-01-28 15:50:00,2026-06-24 16:20:00,28.581669905392534,0.5117421317663277,0.7858701278793213,0.6673728813559322,0.684322033898305,0.6927966101694916,0.5720338983050848,0.9067796610169492,0.7563559322033898,0.4427966101694915,0.5402542372881356,-0.09745762711864409,0.4427966101694915,0.5402542372881356,-0.09745762711864409,0.1652542372881356,0.826271186440678,-0.6610169491525424,0.5635593220338984,BUY_BIAS,0.34170593220338985,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,866,2025-01-28 05:05:00,2026-06-25 05:20:00,71.22140419301708,1.265959090754273,1.451818465348826,0.6478060046189377,0.6397228637413395,0.6685912240184757,0.651270207852194,0.9191685912240185,0.8198614318706697,0.45265588914549654,0.5277136258660509,-0.07505773672055432,0.45265588914549654,0.5277136258660509,-0.07505773672055432,0.21824480369515012,0.7598152424942263,-0.5415704387990762,0.46651270207852186,BUY_BIAS,0.3401270207852194,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=NORMAL_FLOW|energy=HIGH|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,823,2025-01-28 23:05:00,2026-06-24 22:55:00,67.47517518574642,1.2860629684767537,1.0525896304896774,0.5978128797083839,0.6306196840826246,0.6221142162818954,0.6427703523693803,0.8918590522478737,0.7752126366950183,0.4532199270959903,0.5236938031591738,-0.0704738760631835,0.212636695018226,0.7630619684082625,-0.5504252733900364,0.4532199270959903,0.5236938031591738,-0.0704738760631835,-0.47995139732685294,SELL_BIAS,0.33359659781287976,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,1304,2025-01-29 00:55:00,2026-06-24 14:50:00,49.95929727420699,0.9356967403593779,0.9203925911461501,0.6019938650306749,0.647239263803681,0.6303680981595092,0.629601226993865,0.9072085889570553,0.7776073619631901,0.4424846625766871,0.5391104294478528,-0.0966257668711657,0.19631901840490798,0.7883435582822086,-0.5920245398773006,0.4424846625766871,0.5391104294478528,-0.0966257668711657,-0.49539877300613494,SELL_BIAS,0.3335506134969325,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=COMPRESSION|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,131,2025-02-05 17:40:00,2026-06-25 14:55:00,31.678431266661022,0.652357576049153,0.6832819310767573,0.6946564885496184,0.6412213740458015,0.7099236641221374,0.48854961832061067,0.9236641221374046,0.8320610687022901,0.5419847328244275,0.44274809160305345,0.09923664122137404,0.5419847328244275,0.44274809160305345,0.09923664122137404,0.13740458015267176,0.816793893129771,-0.6793893129770993,0.7786259541984732,BUY_BIAS,0.3312847328244275,viés comprador; priorizar compra após confirmação/pullback
