layer,context_key,bars,avg_energy,avg_range_atr,avg_vol_ratio,continuation_h3,continuation_h6,continuation_h12,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_ambiguous,rr_no_touch,rr_edge,fusion_edge_score
3,hour=15|state=COMPRESSION|energy=MEDIUM,247,48.61494216108456,0.8604589557723671,0.8867296014918342,0.5101214574898786,0.4817813765182186,0.5506072874493927,0.6923076923076923,0.6356275303643725,0.3562753036437247,0.6356275303643725,0.008097165991902834,0.0,-0.2793522267206478,0.01902834008097165
2,hour=3|state=ACCEPTED_BREAKOUT,564,72.7243387487563,1.4172442576904931,1.458547327321533,0.4734042553191489,0.4929078014184397,0.5159574468085106,0.7730496453900709,0.7021276595744681,0.33687943262411346,0.624113475177305,0.03900709219858156,0.0,-0.2872340425531915,0.018971631205673745
3,hour=3|state=LOW_RANGE|energy=LOW,138,28.26486959139485,0.5221158466704219,0.8354633170882276,0.5217391304347826,0.43478260869565216,0.4492753623188406,0.7101449275362319,0.6086956521739131,0.38405797101449274,0.6086956521739131,0.007246376811594203,0.0,-0.22463768115942034,0.018478260869565194
4,hour=4|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=NORMAL,315,48.52860817395571,0.9796322299034554,0.9109389113498186,0.473015873015873,0.5142857142857142,0.4984126984126984,0.7111111111111111,0.6571428571428571,0.346031746031746,0.6507936507936508,0.0031746031746031746,0.0,-0.3047619047619048,0.018253968253968245
3,hour=21|state=ACCEPTED_BREAKOUT|energy=HIGH,580,71.37719772832486,1.2863877617404087,1.609374405939657,0.5051724137931034,0.4689655172413793,0.4879310344827586,0.7879310344827586,0.7068965517241379,0.3431034482758621,0.6137931034482759,0.04310344827586207,0.0,-0.2706896551724138,0.018189655172413777
3,hour=16|state=LOW_RANGE|energy=LOW,190,27.66424129767373,0.5115219614479573,0.8261423901319156,0.48947368421052634,0.47368421052631576,0.5052631578947369,0.6631578947368421,0.5631578947368421,0.3736842105263158,0.6157894736842106,0.010526315789473684,0.0,-0.24210526315789477,0.018157894736842123
3,hour=21|state=SWEEP_OR_FALSE_BREAK|energy=HIGH,610,69.11083333835533,1.3084119204178304,1.5717965684690292,0.5131147540983606,0.5,0.48032786885245904,0.7737704918032787,0.7114754098360656,0.3344262295081967,0.6344262295081967,0.03114754098360656,0.0,-0.3,0.018114754098360636
4,hour=20|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH,306,50.89564744203066,0.8882514069321102,1.1979663620933456,0.4542483660130719,0.5032679738562091,0.4869281045751634,0.7810457516339869,0.7287581699346405,0.3235294117647059,0.6339869281045751,0.0392156862745098,0.0,-0.31045751633986923,0.017973856209150346
4,hour=8|state=NORMAL_FLOW|energy=HIGH|vol=HIGH,312,68.23555773679004,1.2325240199233292,1.1263527219666047,0.48717948717948717,0.4967948717948718,0.49038461538461536,0.7852564102564102,0.7467948717948718,0.33653846153846156,0.6538461538461539,0.009615384615384616,0.0,-0.3173076923076923,0.017948717948717996
4,hour=6|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH,260,51.29255946836249,0.9597717389135535,1.117229397314416,0.49615384615384617,0.46923076923076923,0.5115384615384615,0.7230769230769231,0.6461538461538462,0.3576923076923077,0.6230769230769231,0.015384615384615385,0.0038461538461538464,-0.2653846153846154,0.017884615384615415
4,hour=13|state=NORMAL_FLOW|energy=MEDIUM|vol=HIGH,126,51.763760860226114,0.8490426941071945,1.0862786733027976,0.49206349206349204,0.49206349206349204,0.4365079365079365,0.6904761904761905,0.6190476190476191,0.35714285714285715,0.6349206349206349,0.007936507936507936,0.0,-0.27777777777777773,0.017857142857142877
4,hour=16|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=NORMAL,192,47.46944261282996,0.9187198169296136,0.9139904419818428,0.53125,0.5572916666666666,0.5625,0.7083333333333334,0.6145833333333334,0.3385416666666667,0.640625,0.010416666666666666,0.010416666666666666,-0.3020833333333333,0.017708333333333326
1,hour=8,4368,55.23513986766152,1.047914091690657,1.1036961666477139,0.4942765567765568,0.4967948717948718,0.5064102564102564,0.7671703296703297,0.717032967032967,0.3342490842490842,0.6414835164835165,0.02197802197802198,0.0,-0.3072344322344323,0.017651098901098894
2,hour=21|state=LOW_RANGE,128,32.78285754130806,0.5123905640084985,0.9462860200680868,0.5390625,0.46875,0.53125,0.7421875,0.671875,0.359375,0.6328125,0.0,0.0078125,-0.2734375,0.017578125
3,hour=7|state=NORMAL_FLOW|energy=MEDIUM,742,49.76053172754746,0.9227900874655166,0.925970418945544,0.5013477088948787,0.5080862533692723,0.4973045822102426,0.7237196765498652,0.6509433962264151,0.3490566037735849,0.6415094339622641,0.009433962264150943,0.0,-0.29245283018867924,0.017250673854447424
2,hour=14|state=COMPRESSION,300,42.938522271004075,0.7757206426591141,0.905126469927186,0.52,0.49666666666666665,0.4866666666666667,0.6966666666666667,0.6433333333333333,0.3466666666666667,0.6433333333333333,0.0,0.0033333333333333335,-0.29666666666666663,0.016999999999999987
3,hour=14|state=LOW_RANGE|energy=LOW,322,28.3445210764975,0.5116799436193974,0.8248094320524866,0.5217391304347826,0.5124223602484472,0.562111801242236,0.6645962732919255,0.5714285714285714,0.35714285714285715,0.6304347826086957,0.006211180124223602,0.006211180124223602,-0.2732919254658385,0.016770186335403725
4,hour=21|state=SWEEP_OR_FALSE_BREAK|energy=HIGH|vol=HIGH,314,67.91135229534832,1.202044186804306,1.284095580665993,0.5159235668789809,0.5031847133757962,0.4968152866242038,0.7802547770700637,0.7165605095541401,0.33121019108280253,0.6369426751592356,0.03184713375796178,0.0,-0.3057324840764331,0.016719745222929905
