rank,config_id,hour,trades,win_rate,net_points,profit_factor,avg_points,wins,losses
8,7-36-97|s1.0|t0.8|h30|warning_only,5,1,1.0,1.38615,999.0,1.38615,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,7,1,1.0,1.25161,999.0,1.25161,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,8,1,0.0,-1.17657,0.0,-1.17657,0,1
8,7-36-97|s1.0|t0.8|h30|warning_only,9,1,1.0,1.20349,999.0,1.20349,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,14,1,1.0,1.08051,999.0,1.08051,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,16,1,1.0,0.76795,999.0,0.76795,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,17,2,1.0,1.10811,999.0,0.55405,2,0
8,7-36-97|s1.0|t0.8|h30|warning_only,21,1,1.0,2.32645,999.0,2.32645,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,22,9,0.777778,12.93261,2.681095,1.43696,7,2
8,7-36-97|s1.0|t0.8|h30|warning_only,23,1,1.0,2.11348,999.0,2.11348,1,0
9,6-38-84|s1.3|t0.8|h5|required,2,4,1.0,6.89987,999.0,1.72497,4,0
9,6-38-84|s1.3|t0.8|h5|required,3,1,1.0,1.63172,999.0,1.63172,1,0
9,6-38-84|s1.3|t0.8|h5|required,4,5,1.0,7.32113,999.0,1.46423,5,0
9,6-38-84|s1.3|t0.8|h5|required,5,1,1.0,1.38615,999.0,1.38615,1,0
9,6-38-84|s1.3|t0.8|h5|required,8,1,0.0,-1.52954,0.0,-1.52954,0,1
9,6-38-84|s1.3|t0.8|h5|required,16,3,0.666667,0.23286,1.185414,0.07762,2,1
9,6-38-84|s1.3|t0.8|h5|required,17,3,1.0,1.58301,999.0,0.52767,3,0
9,6-38-84|s1.3|t0.8|h5|required,21,3,1.0,6.89949,999.0,2.29983,3,0
9,6-38-84|s1.3|t0.8|h5|required,22,9,0.777778,10.62473,2.062383,1.18053,7,2
10,4-33-84|s1.0|t0.8|h10|required,2,5,0.8,5.01194,3.654728,1.00239,4,1
10,4-33-84|s1.0|t0.8|h10|required,3,1,1.0,1.63172,999.0,1.63172,1,0
10,4-33-84|s1.0|t0.8|h10|required,4,5,1.0,7.32113,999.0,1.46423,5,0
10,4-33-84|s1.0|t0.8|h10|required,8,1,0.0,-1.17657,0.0,-1.17657,0,1
10,4-33-84|s1.0|t0.8|h10|required,16,4,0.75,1.33825,2.385252,0.33456,3,1
10,4-33-84|s1.0|t0.8|h10|required,17,3,1.0,1.58301,999.0,0.52767,3,0
10,4-33-84|s1.0|t0.8|h10|required,21,2,1.0,4.61472,999.0,2.30736,2,0
10,4-33-84|s1.0|t0.8|h10|required,22,9,0.777778,12.93261,2.681095,1.43696,7,2
