side,entry,stop,target,exit_price,pnl_points,pnl_r,mfe_points,mae_points,exit_reason,exit_time,signal_time,entry_time,fast,mid,slow,stop_atr,target_atr,max_hold_minutes,m15_mode,m5_mode,max_entry_candle_atr,max_distance_slow_atr
BUY,4108.98,4104.75303,4112.41441,4112.41441,3.43441,0.8125,6.37,0.87,TARGET,2026-07-07 23:07:00,2026-07-07 23:05:00,2026-07-07 23:06:00,3,27,72,1.6,1.3,15,warning_only,closed_all,0.8,0.8
BUY,4128.26,4124.88093,4131.0055,4131.0055,2.7455,0.8125,2.82,1.7,TARGET,2026-07-08 02:42:00,2026-07-08 02:37:00,2026-07-08 02:38:00,3,27,72,1.6,1.3,15,warning_only,closed_all,0.8,0.8
BUY,4128.02,4124.99931,4130.47431,4124.99931,-3.02069,-1.0,1.17,3.48,STOP,2026-07-08 03:02:00,2026-07-08 02:56:00,2026-07-08 02:57:00,3,27,72,1.6,1.3,15,warning_only,closed_all,0.8,0.8
BUY,4134.23,4131.32194,4138.01047,4138.01047,3.78047,1.3,4.27,1.31,TARGET,2026-07-02 21:22:00,2026-07-02 21:17:00,2026-07-02 21:18:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4135.16,4132.29966,4138.87844,4138.87844,3.71844,1.3,5.73,1.83,TARGET,2026-07-02 21:23:00,2026-07-02 21:18:00,2026-07-02 21:19:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4175.29,4173.5603,4177.53861,4177.53861,2.24861,1.3,2.93,1.62,TARGET,2026-07-03 04:34:00,2026-07-03 04:29:00,2026-07-03 04:30:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4175.91,4174.1447,4178.2049,4178.2049,2.2949,1.3,2.31,0.27,TARGET,2026-07-03 04:34:00,2026-07-03 04:33:00,2026-07-03 04:34:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4179.44,4178.26343,4180.96954,4178.26343,-1.17657,-1.0,0.1,1.47,STOP,2026-07-03 08:06:00,2026-07-03 08:05:00,2026-07-03 08:06:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4189.3,4185.35568,4194.42761,4185.35568,-3.94432,-1.0,3.48,5.08,STOP,2026-07-05 22:18:00,2026-07-05 22:14:00,2026-07-05 22:15:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4191.31,4187.43456,4196.34807,4187.43456,-3.87544,-1.0,1.47,5.52,STOP,2026-07-05 22:17:00,2026-07-05 22:15:00,2026-07-05 22:16:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
