memory_type,memory_key,bars,episode_starts,avg_attempt_number_48,avg_recent_failures_24,avg_energy,avg_range_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,best_side,best_edge,edge_gap,memory_score,memory_guidance
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=UP|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=FULL/DOWN,257,0,1.0,10.268482490272374,46.35557454994198,0.8670373225780598,0.7782101167315175,0.4163424124513619,0.8560311284046692,0.07003891050583658,0.9299610894941635,-0.8599221789883269,0.6536964980544747,0.32684824902723736,0.32684824902723736,SELL,0.32684824902723736,1.1867704280155642,0.5803692607003892,SELL: memória favorável; buscar confirmação/reteste
memory_dna,memory=CLEAN_FIRST_ATTEMPT|side=DOWN|attempt=FIRST_ATTEMPT|quality=FIRST_ATTEMPT|fail=NO_RECENT_FAILURE|lf_age=LF_OLD_NONE|align=FULL/DOWN,6558,6558,1.0,9.575022872827082,65.7399147673392,1.3542308989904583,0.6344922232387923,0.6678865507776761,0.8016163464470876,0.20829521195486428,0.7631899969502898,-0.5548947849954255,0.42787435193656603,0.5321744434278743,-0.10430009149130831,SELL,-0.10430009149130831,0.45059469350411724,0.26370844769746876,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=UP|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=MIXED/DOWN,697,0,1.0,10.140602582496413,41.18360443134823,0.786393748305804,0.5552367288378766,0.6571018651362984,0.6987087517934003,0.18938307030129126,0.7977044476327116,-0.6083213773314204,0.47776183644189385,0.503586800573888,-0.0258249641319942,SELL,-0.0258249641319942,0.5824964131994262,0.2631994261119082,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=DOWN|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_1_3|align=MIXED/UP,209,0,1.0,9.75598086124402,39.74658458678692,0.7806421894019301,0.44019138755980863,0.7751196172248804,0.5023923444976076,0.5454545454545454,0.40669856459330145,0.13875598086124397,0.1674641148325359,0.8086124401913876,-0.6411483253588517,BUY,0.13875598086124397,0.7799043062200957,0.260612918660287,"BUY: há deslocamento, mas a memória indica devolução; não perseguir"
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=DOWN|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=MIXED/UP,686,0,1.0,10.147230320699709,44.638787311865485,0.8503480861302312,0.5874635568513119,0.6530612244897959,0.7157434402332361,0.4650145772594752,0.5145772594752187,-0.0495626822157435,0.22886297376093295,0.760932944606414,-0.532069970845481,BUY,-0.0495626822157435,0.4825072886297375,0.25043731778425654,memória desfavorável; evitar usar como gatilho
memory_dna,memory=SECOND_LEVEL_ATTEMPT|side=DOWN|attempt=SECOND_ATTEMPT|quality=WEAKENING|fail=NO_RECENT_FAILURE|lf_age=LF_OLD_NONE|align=FULL/DOWN,171,171,2.0,9.005847953216374,51.13244549442728,0.8929519823621975,0.6023391812865497,0.6432748538011696,0.7953216374269005,0.18128654970760233,0.7953216374269005,-0.6140350877192982,0.4269005847953216,0.5614035087719298,-0.13450292397660818,SELL,-0.13450292397660818,0.47953216374269,0.23581345029239767,memória desfavorável; evitar usar como gatilho
memory_dna,memory=SECOND_LEVEL_ATTEMPT|side=DOWN|attempt=SECOND_ATTEMPT|quality=WEAKENING|fail=ONE_RECENT_FAILURE|lf_age=LF_1_3|align=FULL/DOWN,132,132,2.0,10.030303030303031,45.40567975068507,0.8256545032685753,0.6287878787878788,0.6060606060606061,0.8181818181818182,0.24242424242424243,0.75,-0.5075757575757576,0.44696969696969696,0.5303030303030303,-0.08333333333333331,SELL,-0.08333333333333331,0.42424242424242425,0.23365454545454548,memória desfavorável; evitar usar como gatilho
memory_dna,memory=SECOND_LEVEL_ATTEMPT|side=DOWN|attempt=SECOND_ATTEMPT|quality=STABLE|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=MIXED/UP,135,135,2.0,10.118518518518519,44.0390711905264,0.9449274532059069,0.45185185185185184,0.7407407407407407,0.5777777777777777,0.5333333333333333,0.45925925925925926,0.07407407407407407,0.17777777777777778,0.8074074074074075,-0.6296296296296297,BUY,0.07407407407407407,0.7037037037037037,0.23350000000000004,memória inconclusiva; usar apenas como filtro contextual
memory_dna,memory=SECOND_LEVEL_ATTEMPT|side=UP|attempt=SECOND_ATTEMPT|quality=WEAKENING|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=MIXED/DOWN,178,178,2.0,10.44943820224719,35.089982127575354,0.716307588631831,0.5056179775280899,0.6853932584269663,0.601123595505618,0.20786516853932585,0.7808988764044944,-0.5730337078651686,0.5168539325842697,0.47191011235955055,0.044943820224719155,SELL,0.044943820224719155,0.6179775280898878,0.2273505617977529,memória inconclusiva; usar apenas como filtro contextual
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=UP|attempt=FIRST_ATTEMPT|quality=FIRST_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=MIXED/DOWN,1681,1681,1.0,10.4883997620464,45.42523351556799,0.8965028363318812,0.46222486615110053,0.7632361689470554,0.6103509815585961,0.18976799524092802,0.7947650208209399,-0.6049970255800119,0.47531231409875074,0.4997025580011898,-0.024390243902439046,SELL,-0.024390243902439046,0.5806067816775728,0.21992861392028556,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=UP|attempt=SECOND_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=MIXED/UP,159,0,2.0,10.276729559748428,36.7197215617809,0.7212762021066466,0.34591194968553457,0.7987421383647799,0.4339622641509434,0.5534591194968553,0.44025157232704404,0.1132075471698113,0.16352201257861634,0.8301886792452831,-0.6666666666666667,BUY,0.1132075471698113,0.779874213836478,0.21873018867924532,"BUY: há deslocamento, mas a memória indica devolução; não perseguir"
