law_id,law_name,side,dimension,segment,base_edge,segment_edge_delta,segment_status,full_bars,full_valid,full_tp_rate,full_sl_rate,full_edge,full_edge_ci_low,full_edge_ci_high,full_no_touch_rate,full_ambiguous_rate,full_reach_1atr,full_pullback_0p50,oos_bars,oos_valid,oos_tp_rate,oos_sl_rate,oos_edge,oos_edge_ci_low,oos_edge_ci_high,oos_no_touch_rate,oos_ambiguous_rate,oos_reach_1atr,oos_pullback_0p50
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,12,0.5168776371308017,0.08312236286919827,INSUFFICIENT,30,30,0.8,0.2,0.6,0.30882970973838264,0.8911702902616173,0.0,0.0,0.16666666666666666,0.9333333333333333,9,9,0.7777777777777778,0.2222222222222222,0.5555555555555556,-0.020630285520732983,1.1317413966318441,0.0,0.0,0.1111111111111111,0.8888888888888888
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,13,0.5168776371308017,0.06932925942092238,INSUFFICIENT,29,29,0.7931034482758621,0.20689655172413793,0.5862068965517241,0.2861189189643024,0.8862948741391458,0.0,0.0,0.06896551724137931,0.9655172413793104,8,8,0.75,0.25,0.5,-0.14156059729381754,1.1415605972938176,0.0,0.0,0.125,0.875
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,1,0.5168776371308017,0.05812236286919825,INSUFFICIENT,40,40,0.775,0.2,0.575,0.323062329645625,0.8269376703543749,0.0,0.025,0.375,0.95,10,10,0.6,0.4,0.2,-0.4401333194473372,0.8401333194473373,0.0,0.0,0.4,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,8,0.5168776371308017,0.03867791842475388,INSUFFICIENT,36,36,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.2800860349364434,0.8310250761746678,0.0,0.0,0.3611111111111111,0.9722222222222222,10,10,0.7,0.3,0.4,-0.19878989080756293,0.998789890807563,0.0,0.0,0.3,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,11,0.5168776371308017,0.019707728722856865,INSUFFICIENT,41,41,0.7560975609756098,0.21951219512195122,0.5365853658536586,0.2795924594224137,0.7935782722849034,0.0,0.024390243902439025,0.12195121951219512,0.926829268292683,7,7,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,17,0.5168776371308017,0.016455696202531622,INSUFFICIENT,45,45,0.7333333333333333,0.2,0.5333333333333333,0.2953125380445625,0.7713541286221042,0.0,0.06666666666666667,0.4,0.9333333333333333,12,12,0.9166666666666666,0.08333333333333333,0.8333333333333334,0.5066666666666667,1.1600000000000001,0.0,0.0,0.4166666666666667,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,14,0.5168776371308017,-0.016877637130801704,INSUFFICIENT,36,36,0.7222222222222222,0.2222222222222222,0.5,0.2239162767886846,0.7760837232113154,0.0,0.05555555555555555,0.2222222222222222,1.0,15,15,0.8,0.2,0.6,0.1809343726813185,1.0190656273186813,0.0,0.0,0.2,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,2,0.5168776371308017,-0.033006669388866205,INSUFFICIENT,31,31,0.7096774193548387,0.22580645161290322,0.4838709677419355,0.18418686998887956,0.7835550654949914,0.0,0.06451612903225806,0.3548387096774194,1.0,11,11,0.8181818181818182,0.09090909090909091,0.7272727272727273,0.3451153022229696,1.109430152322485,0.0,0.09090909090909091,0.18181818181818182,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,22,0.5168776371308017,-0.21330620855937316,INSUFFICIENT,56,56,0.625,0.32142857142857145,0.30357142857142855,0.05929978395495583,0.5478430731879013,0.0,0.05357142857142857,0.26785714285714285,0.9285714285714286,12,12,0.4166666666666667,0.5833333333333334,-0.16666666666666666,-0.7493632888770185,0.41602995554368527,0.0,0.0,0.3333333333333333,0.9166666666666666
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,21,0.5168776371308017,-0.22275999007197816,INSUFFICIENT,34,34,0.6176470588235294,0.3235294117647059,0.29411764705882354,-0.02130920131668107,0.6095444954343281,0.0,0.058823529411764705,0.20588235294117646,1.0,10,10,0.6,0.4,0.2,-0.4401333194473372,0.8401333194473373,0.0,0.0,0.2,1.0
