event_name,hour,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,continuation_h3,continuation_h6,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_edge
FALSE_BREAK,1,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,154,30.306140814041225,0.6937298554318095,0.45454545454545453,0.44805194805194803,0.7532467532467533,0.6103896103896104,0.2857142857142857,0.7077922077922078,-0.42207792207792205
FALSE_BREAK,12,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,125,47.58599754355612,0.830324177285434,0.44,0.448,0.688,0.48,0.272,0.696,-0.42399999999999993
BREAKOUT,13,NORMAL_FLOW,MEDIUM,MIXED,DOWN,140,49.543504798401436,0.88787256337629,0.4714285714285714,0.44285714285714284,0.7071428571428572,0.5428571428571428,0.2857142857142857,0.7142857142857143,-0.4285714285714286
FALSE_BREAK,11,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,183,49.00794477783694,0.8019934096085997,0.39344262295081966,0.4262295081967213,0.7540983606557377,0.4918032786885246,0.28415300546448086,0.7158469945355191,-0.4316939890710383
FALSE_BREAK,8,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,155,49.585674689912416,0.9158560192689408,0.4258064516129032,0.45161290322580644,0.8,0.6645161290322581,0.2709677419354839,0.7032258064516129,-0.432258064516129
FALSE_BREAK,15,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,153,29.394802131797512,0.6778533029728905,0.41830065359477125,0.4444444444444444,0.7581699346405228,0.5555555555555556,0.28104575163398693,0.7189542483660131,-0.43790849673202614
FALSE_BREAK,21,SWEEP_OR_FALSE_BREAK,HIGH,MIXED,UP,121,68.09704502630281,1.2190990766722025,0.4297520661157025,0.5041322314049587,0.8181818181818182,0.6528925619834711,0.2644628099173554,0.7024793388429752,-0.4380165289256198
FALSE_BREAK,10,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,124,50.28638762833044,0.8532600480777865,0.49193548387096775,0.4838709677419355,0.8225806451612904,0.6612903225806451,0.2661290322580645,0.7096774193548387,-0.44354838709677424
FALSE_BREAK,3,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,146,49.68680748129201,0.9620105560120498,0.4794520547945205,0.4452054794520548,0.7945205479452054,0.6027397260273972,0.2602739726027397,0.7054794520547946,-0.44520547945205485
FALSE_BREAK,6,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,159,48.87243854737767,0.9596450296763316,0.44025157232704404,0.4591194968553459,0.779874213836478,0.6037735849056604,0.2641509433962264,0.710691823899371,-0.4465408805031446
FALSE_BREAK,13,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,254,29.203140565652504,0.6404007430846748,0.4409448818897638,0.4645669291338583,0.7007874015748031,0.46062992125984253,0.2637795275590551,0.7125984251968503,-0.44881889763779526
FALSE_BREAK,7,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,157,49.33401258057031,0.9074559754037037,0.3821656050955414,0.3885350318471338,0.8152866242038217,0.5732484076433121,0.27388535031847133,0.7261146496815286,-0.4522292993630573
FALSE_BREAK,3,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,176,50.10639839260368,0.9492449624424606,0.4147727272727273,0.3181818181818182,0.875,0.5625,0.26704545454545453,0.7215909090909091,-0.45454545454545453
FALSE_BREAK,7,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,177,31.029340156814182,0.7121140843759917,0.4915254237288136,0.4858757062146893,0.768361581920904,0.6384180790960452,0.2711864406779661,0.7288135593220338,-0.45762711864406774
FALSE_BREAK,7,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,166,48.10873437460311,0.9111212144704443,0.4578313253012048,0.463855421686747,0.7650602409638554,0.6265060240963856,0.26506024096385544,0.7228915662650602,-0.4578313253012048
FALSE_BREAK,2,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,170,50.74960240659261,0.9303515324260208,0.43529411764705883,0.4176470588235294,0.7764705882352941,0.5470588235294118,0.2647058823529412,0.7235294117647059,-0.4588235294117647
FALSE_BREAK,3,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,124,31.934706367473062,0.7202114122854039,0.41935483870967744,0.3870967741935484,0.782258064516129,0.5483870967741935,0.2661290322580645,0.7258064516129032,-0.45967741935483875
FALSE_BREAK,16,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,130,31.091392481473957,0.6900385457178874,0.4307692307692308,0.4076923076923077,0.7538461538461538,0.4076923076923077,0.26153846153846155,0.7230769230769231,-0.4615384615384615
