hour,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,event_name,zone,bars,avg_energy,avg_range_atr,avg_vol_ratio,breakout_pct,false_break_pct,sweep_pct,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,buy_fast_tp,buy_fast_sl,buy_fast_edge,sell_fast_tp,sell_fast_sl,sell_fast_edge,best_side,edge_delta_buy_minus_sell,level_guidance
12,SWEEP_OR_FALSE_BREAK,LOW,FULL,UP,FALSE_BREAK,RESISTANCE,121,30.908972496353204,0.6385747142661007,0.7565567968845202,0.0,1.0,1.0,0.6033057851239669,0.39669421487603307,0.20661157024793386,0.08264462809917356,0.9173553719008265,-0.834710743801653,0.5619834710743802,0.3884297520661157,0.1735537190082645,0.15702479338842976,0.8016528925619835,-0.6446280991735537,BUY,1.0413223140495869,rompimento favorece compra; esperar aceitação/reteste
4,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,SUPPORT,150,49.23038499691817,0.9552010447523284,1.0221455208418904,0.0,1.0,1.0,0.30666666666666664,0.6866666666666666,-0.38,0.31333333333333335,0.68,-0.3666666666666667,0.26,0.58,-0.31999999999999995,0.29333333333333333,0.54,-0.2466666666666667,SELL,-0.013333333333333308,sem vantagem clara; esperar confirmação
1,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,SUPPORT,142,29.495234211971717,0.6861398410863876,0.7930063324743759,0.0,1.0,0.9929577464788732,0.3028169014084507,0.676056338028169,-0.3732394366197183,0.31690140845070425,0.676056338028169,-0.35915492957746475,0.2535211267605634,0.6408450704225352,-0.38732394366197187,0.28169014084507044,0.5845070422535211,-0.3028169014084507,SELL,-0.014084507042253558,sem vantagem clara; esperar confirmação
4,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,SUPPORT,132,31.62869376784596,0.7143687360064548,0.861098530269329,0.0,1.0,1.0,0.3484848484848485,0.6515151515151515,-0.303030303030303,0.3484848484848485,0.6363636363636364,-0.28787878787878785,0.30303030303030304,0.5757575757575758,-0.27272727272727276,0.30303030303030304,0.5151515151515151,-0.2121212121212121,SELL,-0.015151515151515138,sem vantagem clara; esperar confirmação
23,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,SUPPORT,176,30.674899548541234,0.719899874117283,0.7782373515343473,0.0,1.0,1.0,0.32386363636363635,0.6704545454545454,-0.34659090909090906,0.32386363636363635,0.6534090909090909,-0.3295454545454546,0.2784090909090909,0.6193181818181818,-0.3409090909090909,0.3125,0.5909090909090909,-0.27840909090909094,SELL,-0.017045454545454475,sem vantagem clara; esperar confirmação
6,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,SUPPORT,129,49.928957863880974,0.9347282569468116,0.9925056022728391,0.0,1.0,0.9922480620155039,0.3178294573643411,0.6744186046511628,-0.3565891472868217,0.32558139534883723,0.6511627906976745,-0.32558139534883723,0.34108527131782945,0.5271317829457365,-0.18604651162790703,0.26356589147286824,0.5658914728682171,-0.3023255813953488,SELL,-0.03100775193798444,sem vantagem clara; esperar confirmação
0,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,182,30.22107483410693,0.7175434217305741,0.7685067350417045,0.0,1.0,0.9835164835164835,0.3131868131868132,0.6648351648351648,-0.3516483516483516,0.33516483516483514,0.6428571428571429,-0.30769230769230776,0.3076923076923077,0.6208791208791209,-0.3131868131868132,0.33516483516483514,0.6098901098901099,-0.2747252747252748,SELL,-0.043956043956043855,sem vantagem clara; esperar confirmação
21,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,SUPPORT,147,51.48672973360127,0.8953212057823244,1.2080117888928963,0.0,1.0,1.0,0.2925170068027211,0.6666666666666666,-0.37414965986394555,0.3333333333333333,0.6462585034013606,-0.3129251700680273,0.2585034013605442,0.5170068027210885,-0.2585034013605442,0.272108843537415,0.5034013605442177,-0.2312925170068027,SELL,-0.06122448979591827,rompimento favorece venda; esperar aceitação abaixo
15,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,182,29.7258588093305,0.679681748204829,0.8103741697053617,0.0,1.0,0.9945054945054945,0.3021978021978022,0.6758241758241759,-0.3736263736263737,0.34065934065934067,0.6483516483516484,-0.3076923076923077,0.3131868131868132,0.6208791208791209,-0.3076923076923077,0.3076923076923077,0.6208791208791209,-0.3131868131868132,SELL,-0.06593406593406598,rejeição favorece venda; evitar comprar topo esticado
5,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,152,47.58665802585521,0.9069380369357615,0.9670240238492595,0.0,1.0,1.0,0.3092105263157895,0.6842105263157895,-0.375,0.34868421052631576,0.6513157894736842,-0.3026315789473684,0.29605263157894735,0.5986842105263158,-0.3026315789473685,0.2894736842105263,0.5723684210526315,-0.2828947368421052,SELL,-0.07236842105263158,rejeição favorece venda; evitar comprar topo esticado
6,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,SUPPORT,163,30.459211646120057,0.6874337187065203,0.8074060043424721,0.0,1.0,0.9938650306748467,0.294478527607362,0.6932515337423313,-0.3987730061349693,0.3374233128834356,0.6625766871165644,-0.3251533742331288,0.3067484662576687,0.5398773006134969,-0.2331288343558282,0.25153374233128833,0.656441717791411,-0.4049079754601227,SELL,-0.07361963190184051,rompimento favorece venda; esperar aceitação abaixo
7,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,SUPPORT,127,49.44818899583789,0.9077203695923558,1.0270850974147367,0.0,1.0,1.0,0.3464566929133858,0.6456692913385826,-0.2992125984251968,0.3858267716535433,0.5984251968503937,-0.21259842519685046,0.28346456692913385,0.6062992125984252,-0.3228346456692914,0.3700787401574803,0.49606299212598426,-0.12598425196850394,SELL,-0.08661417322834636,rompimento favorece venda; esperar aceitação abaixo
3,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,132,49.90504020497937,0.9335980093511868,1.056712383798653,0.0,1.0,0.9924242424242424,0.29545454545454547,0.696969696969697,-0.40151515151515155,0.3409090909090909,0.6439393939393939,-0.30303030303030304,0.2196969696969697,0.5757575757575758,-0.3560606060606061,0.30303030303030304,0.553030303030303,-0.24999999999999994,SELL,-0.09848484848484851,rejeição favorece venda; evitar comprar topo esticado
7,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,SUPPORT,171,30.670080561418462,0.7045442773584719,0.8183614972611771,0.0,1.0,0.9883040935672515,0.2982456140350877,0.7017543859649122,-0.40350877192982454,0.34502923976608185,0.6374269005847953,-0.2923976608187135,0.2573099415204678,0.6140350877192983,-0.35672514619883045,0.4093567251461988,0.49122807017543857,-0.08187134502923976,SELL,-0.11111111111111105,rompimento favorece venda; esperar aceitação abaixo
7,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,132,49.25427888244649,0.9047907618190819,1.021542766253897,0.0,1.0,1.0,0.3333333333333333,0.6590909090909091,-0.32575757575757575,0.38636363636363635,0.5984848484848485,-0.21212121212121215,0.2803030303030303,0.6136363636363636,-0.33333333333333337,0.3939393939393939,0.4772727272727273,-0.08333333333333337,SELL,-0.11363636363636359,rejeição favorece venda; evitar comprar topo esticado
8,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,SUPPORT,156,50.573549931966994,0.9320757840459795,1.0811115275678937,0.0,1.0,1.0,0.3141025641025641,0.6730769230769231,-0.35897435897435903,0.3717948717948718,0.6025641025641025,-0.23076923076923073,0.24358974358974358,0.5833333333333334,-0.33974358974358976,0.28846153846153844,0.5,-0.21153846153846156,SELL,-0.1282051282051283,rompimento favorece venda; esperar aceitação abaixo
11,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,SUPPORT,140,50.00005476798891,0.8394259049819248,0.9537438553533869,0.0,1.0,1.0,0.2785714285714286,0.7214285714285714,-0.44285714285714284,0.34285714285714286,0.65,-0.30714285714285716,0.2571428571428571,0.6285714285714286,-0.37142857142857144,0.30714285714285716,0.5642857142857143,-0.2571428571428571,SELL,-0.13571428571428568,rompimento favorece venda; esperar aceitação abaixo
1,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,143,29.665715538898453,0.6934159065619375,0.7910427391569722,0.0,1.0,0.993006993006993,0.26573426573426573,0.7132867132867133,-0.4475524475524476,0.34265734265734266,0.6503496503496503,-0.30769230769230765,0.23776223776223776,0.6503496503496503,-0.41258741258741255,0.3146853146853147,0.5384615384615384,-0.22377622377622375,SELL,-0.13986013986013995,rejeição favorece venda; evitar comprar topo esticado
7,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,172,30.405033481499675,0.6985678830860543,0.8172864512370527,0.0,1.0,0.9883720930232558,0.28488372093023256,0.7151162790697675,-0.4302325581395349,0.3546511627906977,0.6337209302325582,-0.27906976744186046,0.2616279069767442,0.6337209302325582,-0.37209302325581395,0.43023255813953487,0.4941860465116279,-0.06395348837209303,SELL,-0.15116279069767447,rejeição favorece venda; evitar comprar topo esticado
23,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,184,30.39200448769136,0.7072709718643249,0.7716137677052878,0.0,1.0,1.0,0.28804347826086957,0.7065217391304348,-0.41847826086956524,0.3641304347826087,0.6086956521739131,-0.24456521739130438,0.2608695652173913,0.6467391304347826,-0.3858695652173913,0.3641304347826087,0.5434782608695652,-0.17934782608695649,SELL,-0.17391304347826086,rejeição favorece venda; evitar comprar topo esticado
9,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,131,50.78817893823139,0.9152897300248352,1.1457297200144327,0.0,1.0,1.0,0.22900763358778625,0.7404580152671756,-0.5114503816793894,0.32061068702290074,0.6564885496183206,-0.33587786259541985,0.24427480916030533,0.5419847328244275,-0.2977099236641222,0.3053435114503817,0.4198473282442748,-0.1145038167938931,SELL,-0.17557251908396954,rejeição favorece venda; evitar comprar topo esticado
5,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,SUPPORT,174,31.91830236899981,0.7217718984620747,0.8417819788123505,0.0,1.0,0.9942528735632183,0.28735632183908044,0.7068965517241379,-0.41954022988505746,0.3735632183908046,0.6149425287356322,-0.24137931034482757,0.2471264367816092,0.6436781609195402,-0.39655172413793105,0.3390804597701149,0.5919540229885057,-0.25287356321839083,SELL,-0.1781609195402299,rompimento favorece venda; esperar aceitação abaixo
4,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,143,31.65580849337024,0.7131390781828791,0.8550988723614883,0.0,1.0,1.0,0.27972027972027974,0.7202797202797203,-0.4405594405594406,0.38461538461538464,0.6153846153846154,-0.23076923076923078,0.2517482517482518,0.6153846153846154,-0.36363636363636365,0.32167832167832167,0.5104895104895105,-0.18881118881118886,SELL,-0.2097902097902098,rejeição favorece venda; evitar comprar topo esticado
14,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,SUPPORT,197,29.104797994585798,0.6439546385205595,0.8319686454907474,0.0,1.0,0.9949238578680203,0.2639593908629442,0.7208121827411168,-0.4568527918781726,0.38071065989847713,0.6192893401015228,-0.23857868020304568,0.3096446700507614,0.6345177664974619,-0.32487309644670054,0.3147208121827411,0.6192893401015228,-0.3045685279187817,SELL,-0.21827411167512695,rompimento favorece venda; esperar aceitação abaixo
2,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,SUPPORT,164,49.20248975179152,0.8933657467641273,1.141338990433567,0.0,1.0,0.9939024390243902,0.2621951219512195,0.7317073170731707,-0.4695121951219512,0.35365853658536583,0.6036585365853658,-0.25,0.2865853658536585,0.5426829268292683,-0.2560975609756098,0.2804878048780488,0.5121951219512195,-0.23170731707317072,SELL,-0.2195121951219512,rompimento favorece venda; esperar aceitação abaixo
