timeframe,pattern_type,breakout_side,higher_tf_context,sample_size,false_breakout_rate,retest_rate,avg_quality,avg_breakout_atr,aligned_rate,near_obstacle_rate,avg_available_space_atr,success_rate_3,avg_mfe_3_atr,avg_mae_3_atr,avg_return_3_atr,success_rate_6,avg_mfe_6_atr,avg_mae_6_atr,avg_return_6_atr,success_rate_12,avg_mfe_12_atr,avg_mae_12_atr,avg_return_12_atr
M5,TRIANGLE_SYMMETRIC,UP,INSIDE_HTF_CANDLE_RANGE,4,0.5,0.75,50.74459225152032,0.3310526099571315,0.0,1.0,0.7704467184777763,0.75,0.814807769029505,0.6275400484407955,0.006432369479599298,0.75,1.3671084823185684,1.0421427880379341,1.1866248252850173,0.75,2.061601351954082,1.0421427880379341,1.2019429686690448
M5,TRIANGLE_SYMMETRIC,DOWN,HTF_ZONE_ALIGNMENT_CLEAR_SPACE,3,0.0,0.6666666666666666,45.58145362546992,0.6747299101102318,1.0,0.0,,0.6666666666666666,1.2967298921548764,0.5012020101164955,0.2231280351196813,0.3333333333333333,1.2967298921548764,0.966752380955258,-0.052089088052231926,0.3333333333333333,1.2967298921548764,1.1138165025885542,-0.4762748958921459
M5,TRIANGLE_ASCENDING,DOWN,STRUCTURAL_OBSTACLE_AHEAD,3,0.3333333333333333,0.6666666666666666,41.94675621634013,0.6868883430097559,0.0,1.0,0.740223191782567,0.3333333333333333,0.4131971608753798,1.2355473308713318,-0.7809144598255044,0.0,0.4131971608753798,2.6431494492272094,-2.053116753605115,0.0,0.47778204093776494,3.230565335954926,-1.9287715130914218
M5,TRIANGLE_ASCENDING,UP,STRUCTURAL_OBSTACLE_AHEAD,2,0.5,0.0,45.20618257277961,0.4580850763085881,0.0,1.0,0.3489691811463187,0.0,0.35041408215008474,0.8036970716649596,-0.22218756147208427,0.5,0.8173708065705952,1.7220253020070713,-0.9561420064864529,0.5,1.8951774806304897,2.0159671832671417,0.014812934075000728
M5,TRIANGLE_SYMMETRIC,DOWN,STRUCTURAL_OBSTACLE_AHEAD,2,0.5,0.5,47.3218637758021,1.6292357008050724,0.0,1.0,0.5645154518616218,0.0,0.16476097986373756,1.2202505316078582,-0.6480587259187385,0.0,0.17924670448314084,2.3327491054174483,-1.6882841839874685,0.0,0.17924670448314084,2.9170366138450876,-2.093241628547444
M15,TRIANGLE_DESCENDING,UP,INSIDE_HTF_CANDLE_RANGE,2,1.0,0.0,43.081221242690255,0.22344867978349262,0.0,1.0,0.46922945562541535,0.0,0.23417468431557423,1.572130037756317,-0.8919715568682569,0.5,0.8197374974421796,1.9099586192820799,-1.2905731887908691,0.5,0.8197374974421796,2.895144587396266,-1.3321981446186322
M5,TRIANGLE_ASCENDING,DOWN,INSIDE_HTF_CANDLE_RANGE,2,0.5,0.5,44.76490756820556,0.4974799883319427,0.0,1.0,0.4564796624309784,0.0,0.22167253676755064,1.0007490358953142,-0.5370818868613492,0.0,0.22167253676755064,1.1620648206019513,-0.6814605390462158,0.0,0.35208906689335256,1.4162665318642609,-0.3791794817290616
M5,RANGE_BOX,UP,NO_NEAR_HTF_ZONE,2,0.0,0.5,33.786454271137345,0.6148346531049793,0.0,0.0,,0.5,1.0233106994038992,0.35846836049291547,0.6614584759853085,1.0,1.7686537717145434,0.35846836049291547,1.6047067625065683,0.5,2.363302872442198,0.7103425717854844,1.0413477870987513
M5,TRIANGLE_SYMMETRIC,DOWN,INSIDE_HTF_CANDLE_RANGE,2,1.0,1.0,46.672592634267865,0.2745307032022579,0.0,1.0,0.9061128882634025,0.0,0.1944699003557929,0.9226630444738169,-0.34218192140245624,0.5,1.1129684276457625,0.9226630444738169,0.3192529907821404,0.5,1.539746040026792,0.9226630444738169,0.8337738551281083
H1,TRIANGLE_ASCENDING,UP,NO_NEAR_HTF_ZONE,1,0.0,0.0,58.02752961622935,0.5176944332862035,0.0,0.0,,1.0,2.614501180901243,0.10684706318533914,2.3868704810715102,1.0,3.027952860183756,0.10684706318533914,1.5497469686365666,0.0,3.027952860183756,4.2738825274149175,-1.837769486788391
H1,TRIANGLE_DESCENDING,DOWN,NO_NEAR_HTF_ZONE,1,1.0,0.0,54.05574222497915,0.3478008006276915,0.0,0.0,,0.0,0.08074994037290568,2.55035228344415,-2.509977313257736,0.0,0.08074994037290568,3.3443933637777357,-2.6411959663636595,0.0,0.08074994037290568,4.3066634865547915,-3.855809652806113
M15,TRIANGLE_ASCENDING,UP,ALIGNED_WITH_NEAR_OBSTACLE,1,0.0,0.0,36.496494984790694,0.27145183353299596,1.0,1.0,0.9695251207944252,0.0,0.7900350376792049,0.9446979815632313,0.01254023869340218,0.0,0.8234756741946906,0.9446979815632313,0.5726709003283579,0.0,0.9363378224345499,2.4411664656325467,-2.1109401800418404
