side,horizon_minutes,score,quality_class,sample_size,success_rate,avg_return_atr,median_return_atr,avg_mfe_atr,avg_mae_atr,avg_win_atr,avg_loss_atr,payoff_ratio,profit_factor
UP,5,-5,VERY_WEAK,227,0.42290748898678415,-0.12599726502932782,-0.08080808080846856,0.9809308006528051,1.3249783708851042,1.0995946078102286,-1.2892826381101945,0.8528731988681651,0.8087590678922255
UP,5,-4,VERY_WEAK,749,0.40720961281708945,-0.23946314202641425,-0.20311394196737148,0.9327325565312086,1.4474043654344106,1.077456307399653,-1.216757573731641,0.885514362647632,0.6563952618227202
UP,5,-3,VERY_WEAK,1243,0.4360418342719228,-0.20897873236700978,-0.08257557139338294,0.9669689171758604,1.3985439449282118,1.008297178677385,-1.3088145478588826,0.7703896478892902,0.6960641535293739
UP,5,-2,WEAK,1782,0.4898989898989899,-0.03476807675985854,0.03990785911109204,1.1422124382176992,1.2483186134883695,1.1688461849913265,-1.2979797853833805,0.9005118555417932,0.9450711303269453
UP,5,-1,WEAK,2066,0.504840271055179,0.03277711431300523,0.040701664961968816,1.2176412404154295,1.2081365189265747,1.2404547616348298,-1.2434401794595218,0.9975990659832228,1.054405406403846
UP,5,0,NEUTRAL,1888,0.5455508474576272,0.10718778039384932,0.10045198602748731,1.3183972683425165,1.0903415993568575,1.3213268072395763,-1.267221152724789,1.042696300009236,1.1808565119017393
UP,5,1,NEUTRAL,1837,0.54817637452368,0.13660243001107006,0.06185567010319037,1.3595701075434103,1.0166786646958876,1.3852343037899943,-1.174504560482971,1.1794201149975687,1.2387205677069435
UP,5,2,STRONG,1632,0.539828431372549,0.1339078447354941,0.05095707906355701,1.3582509067909796,1.0419474140847071,1.3755309275570509,-1.1861996301733926,1.1596116644851615,1.232912022543642
UP,5,3,STRONG,1362,0.6093979441997063,0.30357869859638037,0.19398561822700827,1.5597346336532447,0.8814741428247913,1.4637823504804517,-1.1630622277485412,1.2585589279380565,1.5915221052128503
UP,5,4,VERY_STRONG,1109,0.7060414788097386,0.6192466561527711,0.5323549032690228,1.9741251294083781,0.6641458794827861,1.7189771861200516,-1.2127563661244536,1.417413450991235,2.3612200036945334
UP,5,5,VERY_STRONG,551,0.7223230490018149,0.9019107050109475,0.6253736300231807,2.216344644944131,0.44952049217927403,1.9658663495331603,-1.1359302649204863,1.7306223896330188,3.3147370637415494
DOWN,15,-5,VERY_WEAK,143,0.4755244755244755,0.02177605680697908,0.0,1.6791298306173557,1.9580411678419576,1.5829043064614103,-1.5610318519337445,1.014011536344099,1.028497415434729
DOWN,15,-4,VERY_WEAK,346,0.4913294797687861,-0.05820726063130446,-0.13182716492972246,1.9633089971314597,2.1933884400265753,2.065648699248569,-2.0396818153795664,1.0127308503087138,0.9448382793382973
DOWN,15,-3,VERY_WEAK,529,0.4820415879017013,-0.07404158812374126,-0.13011152416325056,2.0338711986604006,2.1632975428812466,2.1290130395993954,-2.063130478621969,1.0319332982863165,0.9317095606829694
DOWN,15,-2,WEAK,728,0.49862637362637363,0.025294251765457156,-0.002521613832907965,2.138221334256348,2.1369285189292273,2.148970785687609,-2.0924785162619486,1.026997777509601,1.0241763550439154
DOWN,15,-1,WEAK,863,0.5168018539976825,0.11632359058806044,0.0684156378602655,2.1487288520467303,1.9911178248260302,2.111989431435328,-1.9836001667069494,1.064725375044469,1.1204967042134648
DOWN,15,0,NEUTRAL,785,0.5477707006369427,0.10496063093571212,0.11946001018850208,2.375288975874707,2.0595061861367694,2.1715374395054727,-2.177709119226385,0.9971659760863266,1.1017075703534414
DOWN,15,1,NEUTRAL,688,0.5566860465116279,0.1972585360249782,0.04087514742327954,2.4005176920501343,1.8958076739103804,2.259155178445835,-1.9187968416341166,1.1773811220795303,1.2086390279754469
DOWN,15,2,STRONG,619,0.567043618739903,0.2963427261209663,0.2164179104477263,2.6790449788333337,1.9086923789005825,2.3953148390920767,-2.1635052939925457,1.107145356077104,1.297496662911413
DOWN,15,3,STRONG,538,0.604089219330855,0.5910851043552601,0.32908459287254693,2.896176889939701,1.8105789755522204,2.6079758272329197,-2.0068586054752644,1.2995314269364278,1.677173038182911
DOWN,15,4,VERY_STRONG,474,0.6286919831223629,0.5125454111227549,0.43711881180591383,2.9653981613685385,1.629080908503378,2.4030255037527604,-2.0551215803597893,1.169286297568859,1.5881351205785996
DOWN,15,5,VERY_STRONG,252,0.6587301587301587,0.8019735500619449,0.4669441368168086,3.215645847216409,1.2599995189064273,2.675394244314814,-1.6558169020312692,1.6157548827003643,2.119751818588551
UP,15,-5,VERY_WEAK,78,0.44871794871794873,-0.07782498287758774,0.15024876225856615,1.9847332606108246,2.4671145367569296,2.08014747131665,-2.469091756444176,0.8424747544871892,0.9335531063236422
UP,15,-4,VERY_WEAK,353,0.46742209631728043,-0.12263077694074473,-0.10551703346397034,1.8201243475805393,2.3537431930980954,1.9848846290387876,-2.0148623511266686,0.9851217021991016,0.8844909906841395
UP,15,-3,VERY_WEAK,585,0.4427350427350427,-0.19473048694494266,-0.2368128199421939,1.9138406421864889,2.3695529551876002,2.019518352911931,-2.0993225800923976,0.9619857243773589,0.8271851770123786
UP,15,-2,WEAK,808,0.46782178217821785,-0.04885247238790515,0.04269550779221908,2.07900563687196,2.209095088449125,2.0626088205887276,-2.2025429912240706,0.9364669969245076,0.9551963368629979
UP,15,-1,WEAK,863,0.49130938586326767,-0.13410798948980168,-0.01844532279331181,2.1759166820413176,2.357966869925142,2.178423279975377,-2.4306171023536054,0.8962428832850616,0.8900333482969435
UP,15,0,NEUTRAL,789,0.5247148288973384,0.02422618837965646,0.01840490797530266,2.2810519006914496,2.1027478621059545,2.196853705597259,-2.170509195880014,1.012137478969106,1.0224654124279744
UP,15,1,NEUTRAL,682,0.5351906158357771,0.12548445649149015,0.05791762483213217,2.3319072158143235,2.0025001461381122,2.213296792165664,-2.075106287427856,1.0665944224520172,1.1245965360596797
UP,15,2,STRONG,628,0.5222929936305732,0.28119883646554394,-0.055672987589547626,2.513814446213625,2.050675851721658,2.7004787992243853,-2.1227206185932412,1.2721781545675253,1.2641008329512236
UP,15,3,STRONG,498,0.572289156626506,0.3620778463019631,0.25378351560559653,2.5260962642551315,1.7931685832681152,2.203128501053505,-1.9833702481075353,1.1108004182051514,1.4151292999051928
UP,15,4,VERY_STRONG,447,0.6196868008948546,0.3479237558178929,0.16413262502297876,2.720242849194479,1.7100135201069515,2.4829090438802424,-2.0714235624354993,1.198648643815239,1.35923315112063
UP,15,5,VERY_STRONG,203,0.6600985221674877,0.900035937619712,0.5983504123969171,3.1357616843923504,1.2921609271092107,2.7401470283639715,-1.815249940185842,1.509515008210627,2.227455073091291
DOWN,30,-5,VERY_WEAK,76,0.5,0.6724009091235142,0.34589608049171816,3.2317744176252163,2.704521051099248,2.8416619101962035,-2.4765263504981316,1.1474385926176913,1.6656366667031002
DOWN,30,-4,VERY_WEAK,190,0.5,0.0419173372878453,-0.10350489621936165,2.866215161102928,3.0704662646896477,3.1491561136952257,-3.065321439119535,1.0273493909988674,1.0273493909988674
DOWN,30,-3,VERY_WEAK,328,0.49085365853658536,-0.3803478771478586,-0.07864490727126584,2.8673764074362955,3.3161876630507825,2.772059059949212,-3.494543821067994,0.7932534836841799,0.7836382899425535
DOWN,30,-2,WEAK,365,0.5561643835616439,0.38235921606953854,0.5496413741039012,3.266740567428242,2.7554470911979227,2.8736461379223943,-2.637382507388469,1.089582618324057,1.3207062040291597
DOWN,30,-1,WEAK,464,0.5237068965517241,0.2568157305100317,0.19808859024120595,3.31859933179979,2.924576875351855,3.139632102499634,-2.8586943396670716,1.0982748518910492,1.1869248399360666
DOWN,30,0,NEUTRAL,395,0.5341772151898734,0.13881972563082579,0.3067364290386305,3.684429870558573,3.0711279523240935,3.3982497919243797,-3.4500208260860132,0.9849939937260127,1.0845412590493864
DOWN,30,1,NEUTRAL,378,0.5105820105820106,-0.09885597087620414,0.07342356204512562,3.3181362205860907,3.180927268975324,2.976088721550223,-3.3429108210404284,0.890268655334324,0.9389172157351067
DOWN,30,2,STRONG,322,0.5869565217391305,0.4905550323835914,0.22057944088131648,3.473215558180093,2.554854336813393,3.211487331178504,-2.4777347481199494,1.2961384722942235,1.4139692425027892
DOWN,30,3,STRONG,257,0.5953307392996109,0.6289957609286838,0.5058336469702573,3.7991767394648113,2.698100062133766,3.6114925115178917,-3.171708062831015,1.138658552418703,1.4510339075070195
DOWN,30,4,VERY_STRONG,245,0.6040816326530613,0.9323241066164923,0.9156237383931062,4.275349389047377,2.3861685194937317,3.6064662260842844,-2.945181966611807,1.2245308666728092,1.7755697566755733
DOWN,30,5,VERY_STRONG,143,0.6503496503496503,1.0478751963616626,0.8534503779566197,4.381156465044788,1.9680546726420962,3.9037420112747827,-2.7271631120252398,1.4314296031878322,1.900750784560892
UP,30,-5,VERY_WEAK,54,0.5555555555555556,0.7115638847891914,0.11570527145368285,3.352922174227233,2.9944428670663177,3.7005652564105147,-2.5073606692645423,1.4758807146384578,1.589410000379878
UP,30,-4,VERY_WEAK,186,0.478494623655914,-0.3560680008025928,-0.1740824513902963,2.6980757875253594,3.5109092958734847,2.7016065037583803,-3.222637848828505,0.8383214715672969,0.7859263795943408
UP,30,-3,VERY_WEAK,290,0.4517241379310345,-0.5198539986278435,-0.016688121798400766,2.580593625840444,3.473591596570626,2.4769881543860395,-3.4351494263896485,0.7210714431684448,0.7014504515176029
UP,30,-2,WEAK,401,0.44139650872817954,-0.6837758986389224,-0.5319740500461522,2.7247992122239992,3.599801074616795,2.757961716663968,-3.5153873003199365,0.784539932886759,0.6454623993295608
UP,30,-1,WEAK,488,0.49385245901639346,-0.08050661561920187,0.18755101467255395,3.030515257712738,3.277741197534102,2.879374259497044,-3.2410573805738374,0.8884058260601494,0.9486367295218544
UP,30,0,NEUTRAL,447,0.5033557046979866,-0.028903998890753995,-0.13306370070785334,3.1671114292157165,3.1478788643937707,3.274642458755696,-3.117934452793929,1.0502601989664484,0.9820614847478478
UP,30,1,NEUTRAL,354,0.5056497175141242,0.1290433667198535,0.1187948065898756,3.344191749512979,2.880247457453951,3.1693690379944335,-2.9807754627552887,1.0632699703803983,1.087573283989093
UP,30,2,STRONG,322,0.48757763975155277,0.2941918694467535,-0.17880779588312884,3.573127907301863,3.105503240466704,3.712063806082771,-2.8388574058029294,1.3075907928643804,1.1986248934590156
