side,horizon_minutes,score,quality_class,valid_blocks,positive_return_blocks,negative_return_blocks,avg_block_return_atr,min_block_return_atr,max_block_return_atr,avg_block_success_rate,avg_block_profit_factor
UP,15,3,STRONG,5,4,1,0.3627071152094525,-0.007868858508430882,0.7390907699197037,0.5723636363636363,1.5004428543319444
UP,15,4,VERY_STRONG,5,3,2,0.3478127961498224,-0.09304397976292687,0.8382685436901085,0.6195755305867665,1.4333215740701806
UP,15,5,VERY_STRONG,5,4,1,0.8996209047328476,-0.4843699370147801,1.9699169914939665,0.6596341463414633,2.990687161932059
UP,30,-4,VERY_WEAK,5,1,4,-0.3601550879892906,-0.9274428054345405,0.40004312873649805,0.47809388335704134,0.8228636219664853
UP,30,-3,VERY_WEAK,5,2,3,-0.5198539986278435,-2.214357369808683,0.4952159705874521,0.45172413793103444,0.8820543912109073
UP,30,-2,WEAK,5,1,4,-0.6845902876461393,-1.649134738815778,0.13698264237303417,0.441358024691358,0.6891420730226142
UP,30,-1,WEAK,5,2,3,-0.07978608173510261,-0.4533862112873954,0.2908769610936906,0.4937302756154008,0.966993155807525
UP,30,0,NEUTRAL,5,3,2,-0.02867588386948199,-0.3609773207330914,0.28294887144620695,0.5033208489388264,0.9946716722548523
UP,30,1,NEUTRAL,5,4,1,0.1297937545532281,-0.508849154231812,0.4657792163917752,0.5057142857142857,1.1089935804293742
UP,30,2,STRONG,5,2,3,0.28960100363727925,-0.3061644828003379,1.3237399345587433,0.4873557692307692,1.2357343548301398
UP,30,3,STRONG,5,4,1,0.45452658864718953,-0.15383821734839473,0.8272706722764351,0.5384615384615385,1.375323927390895
UP,30,4,VERY_STRONG,5,3,2,0.5782263011239339,-0.3804102578629211,1.6531399025430806,0.6438482886216466,1.631704072930076
UP,60,-3,VERY_WEAK,5,2,3,-0.28661921265266926,-2.0028912049024132,1.717524691507156,0.4505681818181818,1.0886768721755142
UP,60,-2,WEAK,5,1,4,-0.5260633410410757,-1.0432998891859164,0.02530540879513804,0.4582926829268293,0.7822315393236601
UP,60,-1,WEAK,5,1,4,-0.23586096601630366,-0.8233242538892295,0.36305235452710066,0.45008503401360533,0.9081209714239012
UP,60,0,NEUTRAL,5,1,4,-0.29136049693998745,-1.8792757212330709,1.5760408060377356,0.48327526132404175,1.042809590897096
UP,60,1,NEUTRAL,5,3,2,0.08309870852327933,-0.14387023346556727,0.33109006522249496,0.48690958164642373,1.0370598109798108
UP,60,2,STRONG,5,2,3,-0.4133706141651377,-1.1334335093456345,0.4978218860477337,0.48,0.8636133947333053
