side,horizon_minutes,score,quality_class,block,sample_size,success_rate,avg_return_atr,median_return_atr,avg_mfe_atr,avg_mae_atr,avg_win_atr,avg_loss_atr,payoff_ratio,profit_factor
DOWN,5,1,NEUTRAL,4,331,0.5498489425981873,0.1393043531681776,0.05307050796029186,1.3210788206324557,1.0701868255438645,1.302520233771452,-1.0741739420290657,1.2125785059643606,1.2649738735060305
DOWN,5,2,STRONG,0,320,0.53125,0.2711015427055587,0.14451293288354838,1.4585357140055433,1.1240256505289103,1.6418995776630516,-1.3421505664621032,1.2233348617443751,1.4397070141617476
DOWN,5,2,STRONG,1,320,0.54375,0.13236074643477855,0.15671859929944862,1.425362293409817,1.049679864747151,1.2993846304995427,-1.2410755252876986,1.0469827210542462,1.2321633383835686
DOWN,5,2,STRONG,2,319,0.5266457680250783,0.2045887672668411,0.0337654507084398,1.4999073102490077,1.0516385201768592,1.5965995982391645,-1.2868514087749339,1.240702374300625,1.3293239724649555
DOWN,5,2,STRONG,3,320,0.565625,0.11953010390680918,0.0037140440171293558,1.379619004205869,1.0514696936057852,1.387036176423273,-1.1639194412199247,1.1916943108790208,1.2066841764246687
DOWN,5,2,STRONG,4,320,0.578125,0.2809764189517671,0.2676518267769912,1.3949299625260505,0.9010938332034248,1.2588184034522094,-1.1570778495453822,1.0879288752669505,1.6023758627962836
DOWN,5,3,STRONG,0,276,0.5652173913043478,0.14229555612714434,0.02355287438605149,1.5929529940899088,1.0848068313971502,1.5769987659474791,-1.323009227761822,1.1919786596011424,1.2182723065041088
DOWN,5,3,STRONG,1,276,0.6231884057971014,0.22197848514652044,0.09029578150068772,1.7806133439079228,0.9467374233145261,1.5221745392661499,-1.1964172102567114,1.2722773679756259,1.387938946882501
DOWN,5,3,STRONG,2,276,0.6014492753623188,0.20500665638019241,0.20312727013192877,1.460228191958321,0.8614176455421486,1.288328676742691,-1.1425402469975494,1.1276002575211288,1.4026247105750627
DOWN,5,3,STRONG,3,276,0.6557971014492754,0.3809400667620824,0.32787164392372864,1.6535824501468595,0.8714010237205846,1.3947280430844102,-1.1362788062053906,1.2274523078909765,1.8411784618364648
