timeframe,pattern_type,breakout_side,h1_color,h4_color,htf_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_return_atr,avg_mfe_atr,avg_mae_atr,avg_nearest_htf_obstacle_atr
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.090991505387861,0.05361999424641149,0.5605726671216688,
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.090991505387861,0.05361999424641149,0.5605726671216688,
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,0.0,-0.090991505387861,0.05361999424641149,0.5605726671216688,
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,0.0,0.5020781279438056,0.5833205434686893,1.2478835024621886,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.18298103457918047,0.3015798532878857,0.670930460123713,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.18298103457918047,0.3015798532878857,0.670930460123713,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,0.0,-0.18298103457918047,0.3015798532878857,0.670930460123713,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,0.0,-0.5760514051567335,0.3015798532878857,0.8877968714768644,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,15,3,INSUFFICIENT_SAMPLE,0.0,-0.25432191444848645,0.13477133090569995,0.592556525175846,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,30,3,INSUFFICIENT_SAMPLE,0.0,-0.25432191444848645,0.13477133090569995,0.592556525175846,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,60,3,INSUFFICIENT_SAMPLE,0.0,-0.25432191444848645,0.13477133090569995,0.592556525175846,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,180,3,INSUFFICIENT_SAMPLE,0.3333333333333333,-0.5077761274387317,0.3044040463801607,0.9157459166995657,
H1,TRIANGLE_DESCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.7363169776823185,0.020173067881688506,0.7901118253668211,
H1,TRIANGLE_DESCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.7363169776823185,0.020173067881688506,0.7901118253668211,
H1,TRIANGLE_DESCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,0.0,-0.7363169776823185,0.020173067881688506,0.7901118253668211,
H1,TRIANGLE_DESCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,0.0,-0.7295926217217557,0.020173067881688506,0.8203714271894303,
H1,TRIANGLE_DESCENDING,DOWN,RED,RED,FULL,15,4,INSUFFICIENT_SAMPLE,0.25,-0.27893622406969754,0.26234279181263576,0.5490076660027636,
H1,TRIANGLE_DESCENDING,DOWN,RED,RED,FULL,30,4,INSUFFICIENT_SAMPLE,0.25,-0.27893622406969754,0.26234279181263576,0.5490076660027636,
H1,TRIANGLE_DESCENDING,DOWN,RED,RED,FULL,60,4,INSUFFICIENT_SAMPLE,0.25,-0.27893622406969754,0.26234279181263576,0.5490076660027636,
H1,TRIANGLE_DESCENDING,DOWN,RED,RED,FULL,180,4,INSUFFICIENT_SAMPLE,0.25,-0.3776385935437405,0.28546873737853934,0.8826699126505639,
H1,TRIANGLE_DESCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,15,8,INSUFFICIENT_SAMPLE,0.375,0.012090264379359852,0.3452632576380038,0.32452595001031126,0.15851726858006276
H1,TRIANGLE_DESCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,30,8,INSUFFICIENT_SAMPLE,0.375,0.012090264379359852,0.3452632576380038,0.32452595001031126,0.15851726858006276
H1,TRIANGLE_DESCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,60,8,INSUFFICIENT_SAMPLE,0.375,0.012090264379359852,0.3452632576380038,0.32452595001031126,0.15851726858006276
H1,TRIANGLE_DESCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,180,8,INSUFFICIENT_SAMPLE,0.375,0.3172680030662458,0.7580445143975809,0.6355626169462232,0.15851726858006276
H1,TRIANGLE_DESCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.041535214649119204,0.04372127857796789,0.5093528954337733,
H1,TRIANGLE_DESCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.041535214649119204,0.04372127857796789,0.5093528954337733,
H1,TRIANGLE_DESCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,0.0,-0.041535214649119204,0.04372127857796789,0.5093528954337733,
